Local time,Open,High,Low,Close,Volume
01.06.2020 00:00:00.000 GMT-0000,9505,9542,9475,9534,8.536900000000001
01.06.2020 00:15:00.000 GMT-0000,9534,9545,9527,9538,9.5653
01.06.2020 00:30:00.000 GMT-0000,9537,9539,9514,9518,5.3934000000000015
01.06.2020 00:45:00.000 GMT-0000,9518,9556,9518,9551,3.3428999999999993
01.06.2020 01:00:00.000 GMT-0000,9551,9556,9529,9530,7.450100000000001
01.06.2020 01:15:00.000 GMT-0000,9530,9546,9522,9543,2.5155000000000003
01.06.2020 01:30:00.000 GMT-0000,9545,9573,9541,9564,4.063899999999999
01.06.2020 01:45:00.000 GMT-0000,9563,9618,9557,9603,9.607800000000001
01.06.2020 02:00:00.000 GMT-0000,9603,9617,9586,9597,12.3638
01.06.2020 02:15:00.000 GMT-0000,9597,9605,9577,9592,14.417
01.06.2020 02:30:00.000 GMT-0000,9592,9609,9585,9590,10.703499999999998
01.06.2020 02:45:00.000 GMT-0000,9590,9600,9581,9585,8.4366
01.06.2020 03:00:00.000 GMT-0000,9585,9599,9571,9576,8.595600000000001
01.06.2020 03:15:00.000 GMT-0000,9578,9598,9572,9598,8.0691
01.06.2020 03:30:00.000 GMT-0000,9597,9606,9591,9603,6.071400000000001
01.06.2020 03:45:00.000 GMT-0000,9603,9609,9592,9602,10.696800000000001
01.06.2020 04:00:00.000 GMT-0000,9602,9630,9602,9630,13.098899999999997
01.06.2020 04:15:00.000 GMT-0000,9629,9663,9610,9617,20.1881
01.06.2020 04:30:00.000 GMT-0000,9617,9622,9602,9616,12.0173
01.06.2020 04:45:00.000 GMT-0000,9616,9616,9596,9603,11.9065
01.06.2020 05:00:00.000 GMT-0000,9603,9608,9591,9595,14.330199999999998
01.06.2020 05:15:00.000 GMT-0000,9595,9599,9590,9596,14.605199999999998
01.06.2020 05:30:00.000 GMT-0000,9596,9614,9594,9597,11.998399999999998
01.06.2020 05:45:00.000 GMT-0000,9597,9601,9582,9588,11.205000000000002
01.06.2020 06:00:00.000 GMT-0000,9588,9600,9586,9599,8.2607
01.06.2020 06:15:00.000 GMT-0000,9599,9600,9584,9598,6.0337999999999985
01.06.2020 06:30:00.000 GMT-0000,9598,9609,9598,9609,2.9330999999999996
01.06.2020 06:45:00.000 GMT-0000,9609,9609,9587,9589,7.7636
01.06.2020 07:00:00.000 GMT-0000,9589,9603,9586,9602,5.663799999999999
01.06.2020 07:15:00.000 GMT-0000,9602,9617,9601,9612,8.918999999999999
01.06.2020 07:30:00.000 GMT-0000,9612,9629,9608,9625,7.7411
01.06.2020 07:45:00.000 GMT-0000,9626,9629,9610,9618,7.490900000000001
01.06.2020 08:00:00.000 GMT-0000,9618,9629,9599,9609,9.717399999999998
01.06.2020 08:15:00.000 GMT-0000,9609,9609,9592,9598,8.4981
