Local time,Open,High,Low,Close,Volume
01.04.2020 00:00:00.000 GMT-0000,6370,6383,6323,6326,8.969899999999999
01.04.2020 00:15:00.000 GMT-0000,6326,6328,6222,6222,22.525200000000005
01.04.2020 00:30:00.000 GMT-0000,6222,6253,6208,6238,17.8784
01.04.2020 00:45:00.000 GMT-0000,6238,6275,6227,6258,14.385
01.04.2020 01:00:00.000 GMT-0000,6258,6276,6242,6244,13.605
01.04.2020 01:15:00.000 GMT-0000,6245,6265,6241,6251,13.042499999999999
01.04.2020 01:30:00.000 GMT-0000,6251,6255,6240,6240,10.3925
01.04.2020 01:45:00.000 GMT-0000,6240,6252,6238,6241,11.0825
01.04.2020 02:00:00.000 GMT-0000,6241,6257,6240,6254,10.1275
01.04.2020 02:15:00.000 GMT-0000,6253,6275,6253,6267,8.7125
01.04.2020 02:30:00.000 GMT-0000,6268,6269,6258,6259,7.8625
01.04.2020 02:45:00.000 GMT-0000,6259,6271,6258,6271,6.459999999999999
01.04.2020 03:00:00.000 GMT-0000,6270,6311,6267,6306,10.455
01.04.2020 03:15:00.000 GMT-0000,6306,6314,6298,6306,9.467800000000002
01.04.2020 03:30:00.000 GMT-0000,6307,6307,6293,6306,8.447700000000001
01.04.2020 03:45:00.000 GMT-0000,6306,6333,6301,6322,9.987699999999998
01.04.2020 04:00:00.000 GMT-0000,6322,6330,6300,6314,10.957799999999999
01.04.2020 04:15:00.000 GMT-0000,6314,6318,6307,6309,6.865300000000001
01.04.2020 04:30:00.000 GMT-0000,6309,6309,6289,6292,7.982899999999999
01.04.2020 04:45:00.000 GMT-0000,6292,6299,6289,6296,7.530899999999998
01.04.2020 05:00:00.000 GMT-0000,6296,6299,6271,6276,10.8451
01.04.2020 05:15:00.000 GMT-0000,6276,6285,6269,6285,8.465
01.04.2020 05:30:00.000 GMT-0000,6285,6286,6258,6263,9.09
01.04.2020 05:45:00.000 GMT-0000,6263,6272,6246,6259,13.5578
01.04.2020 06:00:00.000 GMT-0000,6259,6267,6239,6244,11.735000000000001
01.04.2020 06:15:00.000 GMT-0000,6244,6256,6230,6254,11.924999999999999
01.04.2020 06:30:00.000 GMT-0000,6255,6275,6245,6275,11.415200000000002
01.04.2020 06:45:00.000 GMT-0000,6273,6275,6249,6256,11.938300000000002
01.04.2020 07:00:00.000 GMT-0000,6256,6273,6244,6268,11.6925
01.04.2020 07:15:00.000 GMT-0000,6269,6280,6261,6278,7.2075
01.04.2020 07:30:00.000 GMT-0000,6278,6291,6275,6284,9.9377
01.04.2020 07:45:00.000 GMT-0000,6284,6285,6271,6285,9.372599999999998
01.04.2020 08:00:00.000 GMT-0000,6285,6285,6254,6260,11.870200000000002
01.04.2020 08:15:00.000 GMT-0000,6260,6269,6247,6254,8.55
01.04.2020 08:30:00.000 GMT-0000,6254,6266,6243,6264,10.427499999999998
01.04.2020 08:45:00.000 GMT-0000,6264,6268,6257,6264,9.285000000000002
01.04.2020 09:00:00.000 GMT-0000,6264,6270,6238,6238,10.527500000000002
01.04.2020 09:15:00.000 GMT-0000,6237,6261,6237,6255,6.74
01.04.2020 09:30:00.000 GMT-0000,6255,6256,6227,6230,7.0725
01.04.2020 09:45:00.000 GMT-0000,6230,6259,6218,6255,13.777500000000002
01.04.2020 10:00:00.000 GMT-0000,6255,6259,6243,6253,8.71
01.04.2020 10:15:00.000 GMT-0000,6253,6270,6251,6266,8.8175
01.04.2020 10:30:00.000 GMT-0000,6266,6272,6252,6253,7.220000000000001
01.04.2020 10:45:00.000 GMT-0000,6253,6259,6242,6245,8.7975
01.04.2020 11:00:00.000 GMT-0000,6245,6248,6228,6239,9.468300000000001
01.04.2020 11:15:00.000 GMT-0000,6239,6239,6221,6238,7.6636000000000015
01.04.2020 11:30:00.000 GMT-0000,6238,6252,6237,6246,5.5443
01.04.2020 11:45:00.000 GMT-0000,6246,6246,6233,6245,5.4513
01.04.2020 12:00:00.000 GMT-0000,6245,6289,6169,6171,13.3229
01.04.2020 12:15:00.000 GMT-0000,6171,6196,6170,6185,11.0444
01.04.2020 12:30:00.000 GMT-0000,6185,6198,6178,6194,7.6735
01.04.2020 12:45:00.000 GMT-0000,6194,6195,6166,6170,6.4841
01.04.2020 13:00:00.000 GMT-0000,6170,6187,6166,6175,6.187999999999999
01.04.2020 13:15:00.000 GMT-0000,6175,6185,6175,6183,5.100300000000001
01.04.2020 13:30:00.000 GMT-0000,6183,6190,6128,6161,11.1803
01.04.2020 13:45:00.000 GMT-0000,6161,6161,6150,6157,5.2600999999999996
01.04.2020 14:00:00.000 GMT-0000,6157,6184,6153,6184,8.3413
01.04.2020 14:15:00.000 GMT-0000,6184,6185,6171,6182,8.389000000000001
01.04.2020 14:30:00.000 GMT-0000,6182,6214,6182,6203,9.503400000000001
