Local time,Open,High,Low,Close,Volume
25.08.2022 00:00:00.000 GMT-0500,1757.124,1758.654,1756.154,1756.544,367419.99999999994
25.08.2022 00:30:00.000 GMT-0500,1756.494,1757.158,1755.854,1756.938,355050.0003
25.08.2022 01:00:00.000 GMT-0500,1756.934,1759.264,1756.148,1758.725,861350.0001
25.08.2022 01:30:00.000 GMT-0500,1758.714,1761.548,1758.568,1760.388,1228270.0053
25.08.2022 02:00:00.000 GMT-0500,1760.388,1763.594,1760.118,1763.474,1358329.9962999998
25.08.2022 02:30:00.000 GMT-0500,1763.535,1763.604,1761.094,1762.344,959920.0038000003
25.08.2022 03:00:00.000 GMT-0500,1762.374,1763.974,1761.694,1763.664,884849.9990999999
25.08.2022 03:30:00.000 GMT-0500,1763.664,1765.114,1761.958,1762.394,895169.9959
25.08.2022 04:00:00.000 GMT-0500,1762.454,1765.068,1762.397,1763.568,774899.9985
25.08.2022 04:30:00.000 GMT-0500,1763.588,1765.068,1762.508,1763.205,804419.9979000002
25.08.2022 05:00:00.000 GMT-0500,1763.312,1763.603,1761.750,1762.624,757200.0008000002
25.08.2022 05:30:00.000 GMT-0500,1762.604,1763.538,1761.724,1762.564,691939.9992000001
25.08.2022 06:00:00.000 GMT-0500,1762.544,1765.368,1761.838,1763.984,833590.0026000001
25.08.2022 06:30:00.000 GMT-0500,1763.974,1765.338,1762.298,1762.394,875529.9924999998
25.08.2022 07:00:00.000 GMT-0500,1762.378,1762.684,1759.257,1760.304,1111230.0086
25.08.2022 07:30:00.000 GMT-0500,1760.284,1760.508,1756.828,1760.198,1563360.002
25.08.2022 08:00:00.000 GMT-0500,1760.178,1761.638,1758.388,1759.718,1913390.0069999998
25.08.2022 08:30:00.000 GMT-0500,1759.718,1759.948,1753.224,1753.304,1904070.0049000003
25.08.2022 09:00:00.000 GMT-0500,1753.304,1756.734,1752.294,1756.284,1620289.9983
25.08.2022 09:30:00.000 GMT-0500,1756.328,1757.474,1755.056,1755.928,1459690.0047
25.08.2022 10:00:00.000 GMT-0500,1755.924,1757.648,1754.738,1756.444,1425679.9913
25.08.2022 10:30:00.000 GMT-0500,1756.444,1756.444,1754.248,1755.224,1061709.9981999998
25.08.2022 11:00:00.000 GMT-0500,1755.244,1756.498,1754.254,1756.214,773210.0020999998
25.08.2022 11:30:00.000 GMT-0500,1756.144,1758.174,1755.694,1758.134,536690.0017
25.08.2022 12:00:00.000 GMT-0500,1758.104,1759.778,1757.414,1758.135,849840.0004000003
25.08.2022 12:30:00.000 GMT-0500,1758.135,1758.804,1757.374,1758.634,476789.99799999996
25.08.2022 13:00:00.000 GMT-0500,1758.684,1758.794,1756.238,1756.608,613860.0025000001
25.08.2022 13:30:00.000 GMT-0500,1756.644,1757.284,1755.548,1755.964,599219.9946999999
25.08.2022 14:00:00.000 GMT-0500,1755.918,1755.964,1755.128,1755.308,645020.0042
25.08.2022 14:30:00.000 GMT-0500,1755.288,1757.464,1754.828,1757.264,577290.0011999999
25.08.2022 15:00:00.000 GMT-0500,1757.348,1757.858,1757.028,1757.474,183180.00010000003
25.08.2022 15:30:00.000 GMT-0500,1757.474,1758.718,1757.448,1758.488,159980.0006
25.08.2022 16:00:00.000 GMT-0500,1758.488,1758.488,1758.488,1758.488,0
25.08.2022 16:30:00.000 GMT-0500,1758.488,1758.488,1758.488,1758.488,0
25.08.2022 17:00:00.000 GMT-0500,1758.478,1758.768,1756.964,1757.848,133369.9986
