Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
30分鐘獲利5萬元，黃金短線交易｜實戰交易復盤,Eli 伊萊,20300,22437,60,https://www.youtube.com/watch?v=7eBg10L-Krc,154101055500.0
测评不可思议的交易策略，本套交易方法已经被见证70万次，被我连续交易回测100次#交易策略#交易系统#交易策略回测,投机实验室,98900,209815,282,https://www.youtube.com/watch?v=QZT81Kllvag,7277463035992.908
黃金交易分析：預測黃金走向（超級簡單的交易策略！）,Alice講股票,4990,10073,4,https://www.youtube.com/watch?v=5NwMraBQKr0,62704676825.0
黃金交易分析：快看這個買賣交易點！,Alice講股票,4990,495,0,https://www.youtube.com/watch?v=i5ZdzDZ42p4,inf
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （11 MAC 2022）,PAM 外汇 FX Trader,2680,196,1,https://www.youtube.com/watch?v=6z7wRu5U62U,1407750399.9999998
实盘思路分享---黄金XAUUSD 1MIN入场8R,TraderMax Liu丨分形交易,8400,1834,28,https://www.youtube.com/watch?v=Civpa9JQuE8,4621680000.0
黄金时间最佳入场 【3分钟精通】,JAVIUS LIM,618,7792,2,https://www.youtube.com/watch?v=xMGHnUjYrX8,1487975904.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （13 MAY 2022）,PAM 外汇 FX Trader,2680,151,0,https://www.youtube.com/watch?v=nsOOobnXPU8,inf
"从100到20,000！我只使用了这5大方法帮助我轻松翻倍小资金|5大独家秘笈，让你的交易收益以及质量有飞快地成长，进一步地成为一个成功的交易员",Master Technical Analysis (MTA),51600,62228,62,https://www.youtube.com/watch?v=C3vzxzZftvQ,2672351349677.4194
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （01 APR 2022）,PAM 外汇 FX Trader,2680,545,3,https://www.youtube.com/watch?v=aAXUHz5cXGs,1304802666.6666665
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （03 JUNE 2022）,PAM 外汇 FX Trader,2680,190,1,https://www.youtube.com/watch?v=S2vaHktoQ_k,1364656000.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （01 AUG 2022）,PAM 外汇 FX Trader,2680,158,4,https://www.youtube.com/watch?v=zu7EHGArDhc,283704800.00000006
XAUUSD 黃金外匯信號分析 #黃金 #投資,Alice講股票,4990,1536,1,https://www.youtube.com/watch?v=L1BiISxK2eg,38246553600.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （27 MAY 2022）,PAM 外汇 FX Trader,2680,606,6,https://www.youtube.com/watch?v=dg2IpqHl_sw,725422400.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （28 APR 2022）,PAM 外汇 FX Trader,2680,96,11,https://www.youtube.com/watch?v=PYt6kJLPy3c,62682763.636363626
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （31 MAY 2022）,PAM 外汇 FX Trader,2680,109,1,https://www.youtube.com/watch?v=Ye5HfXBFZOg,782881600.0000001
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （11 AUG 2022）,PAM 外汇 FX Trader,2680,1218,3,https://www.youtube.com/watch?v=3BEiXPcPpd4,2916054400.0
指標投資策略分享 : 黃金XAUUSD 投資指標分享｜投資指標策略入門｜XAUUSD｜投資大師兄,投資大師兄 - 分享投資市場資訊 ,979,581,3,https://www.youtube.com/watch?v=hfcGfFJvJt8,185618073.6666667
简单的黄金操作 #trading #炒外汇 #forex #交易 #xauusd #黄金交易 #the5ers,Louis Trading,226,146,0,https://www.youtube.com/watch?v=f1afsCB0YKM,inf
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （03 MAY 2022）,PAM 外汇 FX Trader,2680,128,1,https://www.youtube.com/watch?v=7ofx3BdbPQo,919347200.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （08 APR 2022）,PAM 外汇 FX Trader,2680,154,1,https://www.youtube.com/watch?v=YPrene2x7-o,1106089600.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （25 JUL 2022）,PAM 外汇 FX Trader,2680,115,1,https://www.youtube.com/watch?v=BYJ3SMMUu3w,825976000.0000001
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （28 MAC 2022）,PAM 外汇 FX Trader,2680,185,1,https://www.youtube.com/watch?v=e1nXljf_VTM,1328743999.9999998
黄金 (XAUUSD) 行情分析：下周如何操作？？,Xtrend财经-交易不发愁,380,448,0,https://www.youtube.com/watch?v=dRO4dJ7tgZI,inf
交易分析：XAUUSD #股票和外汇 #金融知识 #金融小白 #外汇新手 #外汇入门 #交易者 #外汇交易赚钱 #交易者赚钱 #交易赚钱,外汇技术分析,1680,2607,0,https://www.youtube.com/watch?v=MoeQO2dK9fA,inf
交易分析：XAUUSD D1 #股票和外汇 #金融知识 #金融小白 #外汇新手 #外汇入门 #交易者 #外汇交易赚钱 #交易者赚钱,外汇技术分析,1680,299,0,https://www.youtube.com/watch?v=JQjoMhM1IMo,inf
XAUUSD 交易分析 #投资 #理财 #美股 #股票 #赚钱 #财富自由 #外汇 #虚拟货币 #btc,外汇技术分析,1680,321,0,https://www.youtube.com/watch?v=R72U5F-uULo,inf
XAUUSD 黃金兌美元 外匯交易分析&amp;預測,Alice講股票,4990,994,0,https://www.youtube.com/watch?v=iQrx5uhzGdw,inf
外汇交易10年来，这是我用过胜率最高的外汇超短线战法！,阿萨外汇社区,13500,17829,56,https://www.youtube.com/watch?v=q0yOIhlQLFM,58023843750.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （31 MAC 2022）,PAM 外汇 FX Trader,2680,130,1,https://www.youtube.com/watch?v=5OVSYZUg_ek,933712000.0
55「SMC順勢交易必學技巧！抓住趨勢，穩定盈利的最佳策略」 #投資 #熱門 #trading #投資 #熱門 #forex #forextrader #forextrading #btc,佛系 SMC,57,22,0,https://www.youtube.com/watch?v=ruzlNHfm2B4,inf
XAGUSD 白銀外匯交易分析 #xagusd #白銀 #大宗商品,Alice講股票,4990,770,1,https://www.youtube.com/watch?v=Gyp7S-FVUk4,19173077000.000004
交易分析：XAUUSD D1 #股票和外汇 #金融知识 #金融小白 #外汇新手 #外汇入门 #交易者 #外汇交易赚钱 #交易者赚钱 #交易赚钱 #外汇交易分析 #生活理财 #投资交易 #赚钱,外汇技术分析,1680,347,0,https://www.youtube.com/watch?v=lVh37m8nDe8,inf
从亏损到盈利 #trading #炒外汇 #forex #外汇交易 #黄金交易 #xauusd #交易 #亏损到盈利,Louis Trading,226,65,0,https://www.youtube.com/watch?v=siGr__ry6yo,inf
外汇交易直播 - 黄金外汇信号 - XAUUSD 外汇交易,YCHpro--中文频道,20800,58,1,https://www.youtube.com/watch?v=vIOQcsd7Vz0,25093120000.000004
简单粗暴的方法 #forex #炒外汇 #trading #交易 #trader #黄金交易 #黄金 #交易策略,Louis Trading,226,74,2,https://www.youtube.com/watch?v=2OxyCpuQ5Ro,1889812.0
交易高手和菜鸟实战过程对比,黄金乔老大,2000,539,0,https://www.youtube.com/watch?v=-A8rsZh0ih4,inf
Hi Traders 黄金顺利在睡前 TP #技术分析 #xauusd,PAM 外汇 FX Trader,2680,273,1,https://www.youtube.com/watch?v=YMNK1TCeD1o,1960795200.0
外汇交易技术分析-黄金兑美元XAUUSD 炒外汇黄金新手入门视频课程支撑与压力操作策略,外汇投资技术教学,149,729,5,https://www.youtube.com/watch?v=HNsBsTsXt5U,3236905.8000000003
交易分析：XAUUSD D1 #外汇亏钱 #外汇交易犯错 #外汇入门 #交易者 #外汇交易赚钱 #交易者赚钱 #交易赚钱 #外汇交易分析 #生活理财 #投资交易 #赚钱,外汇技术分析,1680,352,0,https://www.youtube.com/watch?v=xEJ3GddAC0s,inf
交易分析：XAUUSD #外汇亏钱 #外汇交易犯错 #外汇入门 #交易者 #外汇交易赚钱 #交易者赚钱 #交易赚钱 #外汇交易分析 #生活理财 #投资交易 #赚钱 #金融交易,外汇技术分析,1680,375,0,https://www.youtube.com/watch?v=6bqCa_JgOZs,inf
