Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
30分鐘獲利5萬元，黃金短線交易｜實戰交易復盤,Eli 伊萊,20300,22437,60,https://www.youtube.com/watch?v=7eBg10L-Krc,154101055500.0
这套5分钟级别交易策略，据频道主说可以达到99%胜率，投大带你体验一下#交易系统 #交易策略测试 #指标,投机实验室,98900,79673,117,https://www.youtube.com/watch?v=sdH4MpNhHEM,6660669609658.12
黄金时间最佳入场 【3分钟精通】,JAVIUS LIM,618,7792,2,https://www.youtube.com/watch?v=xMGHnUjYrX8,1487975904.0
实盘思路分享---黄金XAUUSD 1MIN入场8R,TraderMax Liu丨分形交易,8400,1834,28,https://www.youtube.com/watch?v=Civpa9JQuE8,4621680000.0
测评不可思议的交易策略，本套交易方法已经被见证70万次，被我连续交易回测100次#交易策略#交易系统#交易策略回测,投机实验室,98900,209815,282,https://www.youtube.com/watch?v=QZT81Kllvag,7277463035992.908
【重塑交易！必看！】28 岁的Umar在交易中赚了1500万美元，他公开了超短线交易的秘诀和经常使他盈利的交易策略，值得所有交易员写在本子上，这是日内交易的真相#daytrading #umar,投机实验室,98900,91448,70,https://www.youtube.com/watch?v=Z7BRl3W_DHc,12778172744000.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （11 MAC 2022）,PAM 外汇 FX Trader,2680,196,1,https://www.youtube.com/watch?v=6z7wRu5U62U,1407750399.9999998
疯狂收割！最新黄金交易策略大揭秘！掌握日内交易XAUUSD的制胜秘诀，实现稳健盈利与长期获胜！,Louis Trading,226,91,0,https://www.youtube.com/watch?v=aM-Ms0IlQdo,inf
【短线交易Trading】让我赚到人生第一桶金的 Short Term 短线交易 秘籍! 短线交易 的Trading秘密!【TheTradveller作手過客】,Anson Tan [The Tradveller 作手过客],116000,229396,859,https://www.youtube.com/watch?v=bL62aLSr71U,3593425583236.322
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （01 APR 2022）,PAM 外汇 FX Trader,2680,545,3,https://www.youtube.com/watch?v=aAXUHz5cXGs,1304802666.6666665
"从100到20,000！我只使用了这5大方法帮助我轻松翻倍小资金|5大独家秘笈，让你的交易收益以及质量有飞快地成长，进一步地成为一个成功的交易员",Master Technical Analysis (MTA),51600,62228,62,https://www.youtube.com/watch?v=C3vzxzZftvQ,2672351349677.4194
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （13 MAY 2022）,PAM 外汇 FX Trader,2680,151,0,https://www.youtube.com/watch?v=nsOOobnXPU8,inf
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （11 AUG 2022）,PAM 外汇 FX Trader,2680,1218,3,https://www.youtube.com/watch?v=3BEiXPcPpd4,2916054400.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （27 MAY 2022）,PAM 外汇 FX Trader,2680,606,6,https://www.youtube.com/watch?v=dg2IpqHl_sw,725422400.0
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （21 APR 2022）,PAM 外汇 FX Trader,2680,72,1,https://www.youtube.com/watch?v=HnSauCWG4P4,517132800.0
外汇交易10年来，这是我用过胜率最高的外汇超短线战法！,阿萨外汇社区,13500,17829,56,https://www.youtube.com/watch?v=q0yOIhlQLFM,58023843750.0
新手Price Action交易指南(31) #mt4 #投資 #交易策略 #priceaction #xauusd #價格行為   #日內交易 #短炒 #黃金 #交易知識,Day Trading 進擊企鵝,5710,701,0,https://www.youtube.com/watch?v=JZpX3xZelDM,inf
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （28 MAC 2022）,PAM 外汇 FX Trader,2680,185,1,https://www.youtube.com/watch?v=e1nXljf_VTM,1328743999.9999998
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （01 AUG 2022）,PAM 外汇 FX Trader,2680,158,4,https://www.youtube.com/watch?v=zu7EHGArDhc,283704800.00000006
