Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
30分鐘獲利5萬元，黃金短線交易｜實戰交易復盤,Eli 伊萊,20300,22437,60,https://www.youtube.com/watch?v=7eBg10L-Krc,154101055500.0
这套5分钟级别交易策略，据频道主说可以达到99%胜率，投大带你体验一下#交易系统 #交易策略测试 #指标,投机实验室,98900,79673,117,https://www.youtube.com/watch?v=sdH4MpNhHEM,6660669609658.12
黄金为啥分析的准！十年交易员分享3个实战技巧！,老邹说交易,1520,358,1,https://www.youtube.com/watch?v=l89HJu9-r7g,827123199.9999999
黄金策略,黄金白银职业交易频道,8380,4022,11,https://www.youtube.com/watch?v=Y5v7zbPfRRE,25676594254.545452
[Price Action]《黄金5分钟周期 日内交易》 | 价格行为 裸K交易 日内交易案例  | 裸K交易课 | 老K的交易课,Trader K ,8400,6810,10,https://www.youtube.com/watch?v=M7UUd1fT__k,48051360000.0
黃金周一交易策略#貴金屬 #黄金 #交易 #白銀 #美股,黄金白银职业交易频道,8380,1208,18,https://www.youtube.com/watch?v=8XB_99fnPJ8,4712837511.111112
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （27 MAY 2022）,PAM 外汇 FX Trader,2680,606,6,https://www.youtube.com/watch?v=dg2IpqHl_sw,725422400.0
疯狂收割！最新黄金交易策略大揭秘！掌握日内交易XAUUSD的制胜秘诀，实现稳健盈利与长期获胜！,Louis Trading,226,91,0,https://www.youtube.com/watch?v=aM-Ms0IlQdo,inf
测评不可思议的交易策略，本套交易方法已经被见证70万次，被我连续交易回测100次#交易策略#交易系统#交易策略回测,投机实验室,98900,209815,282,https://www.youtube.com/watch?v=QZT81Kllvag,7277463035992.908
超强黄金外汇ea ，1万做到38万  ，源码无造假  ，tick测试也丝滑,他的办法,4370,4075,39,https://www.youtube.com/watch?v=Fq4CdH-E2nM,1995381217.948718
黄金时间最佳入场 【3分钟精通】,JAVIUS LIM,618,7792,2,https://www.youtube.com/watch?v=xMGHnUjYrX8,1487975904.0
黄金1分钟裸K交易法实盘思路分享,TraderMax Liu丨分形交易,8400,5760,22,https://www.youtube.com/watch?v=BFYusk9isVo,18473890909.090908
【外汇短线交易】黄金策略30分钟连胜3单！4月份交易策略大获全胜，跟上的都赚钱翻仓了！,阿萨外汇社区,13500,1103,0,https://www.youtube.com/watch?v=k8Goh3fnCLk,inf
黄金15分钟K线图短线交易技巧：齐品金银1月10日晚盘黄金价格走势分析,易振金银,7120,3277,4,https://www.youtube.com/watch?v=6BC-PIYDGtc,41531387200.00001
黄金做空，我用组合策略赚了100点！分享2个外汇炒黄金炒赚大钱的方法！,阿萨外汇社区,13500,554,1,https://www.youtube.com/watch?v=2fB94B4KT3Q,100966500000.0
【重塑交易！必看！】28 岁的Umar在交易中赚了1500万美元，他公开了超短线交易的秘诀和经常使他盈利的交易策略，值得所有交易员写在本子上，这是日内交易的真相#daytrading #umar,投机实验室,98900,91448,70,https://www.youtube.com/watch?v=Z7BRl3W_DHc,12778172744000.0
外汇交易10年来，这是我用过胜率最高的外汇超短线战法！,阿萨外汇社区,13500,17829,56,https://www.youtube.com/watch?v=q0yOIhlQLFM,58023843750.0
黄金交易策略——1万到100万美金都在运行的EA交易，是啥策略？,外汇信号,308,347,3,https://www.youtube.com/watch?v=OJg1s4Ufsb8,10972602.666666668
交易黄金有方法｜xauusd交易课程｜gold 短线交易策略 （01 APR 2022）,PAM 外汇 FX Trader,2680,545,3,https://www.youtube.com/watch?v=aAXUHz5cXGs,1304802666.6666665
后大选时代黄金的交易逻辑及策略,Phillip Nova,2990,1143,1,https://www.youtube.com/watch?v=v9lsbU26hvY,10218534300.0
黃金交易分析：預測黃金走向（超級簡單的交易策略！）,Alice講股票,4990,10073,4,https://www.youtube.com/watch?v=5NwMraBQKr0,62704676825.0
從黃金價格漲跌看當前投資交易策略 ft. DecodeEX首席策略分析師,HackBear 泰瑞,448000,19956,24,https://www.youtube.com/watch?v=0JpAC7XvdYY,166885376000000.0
