Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
黄金为啥分析的准！十年交易员分享3个实战技巧！,老邹说交易,1520,358,1,https://www.youtube.com/watch?v=l89HJu9-r7g,827123199.9999999
30分鐘獲利5萬元，黃金短線交易｜實戰交易復盤,Eli 伊萊,20300,22437,60,https://www.youtube.com/watch?v=7eBg10L-Krc,154101055500.0
黄金时间最佳入场 【3分钟精通】,JAVIUS LIM,618,7792,2,https://www.youtube.com/watch?v=xMGHnUjYrX8,1487975904.0
黃金交易分析：預測黃金走向（超級簡單的交易策略！）,Alice講股票,4990,10073,4,https://www.youtube.com/watch?v=5NwMraBQKr0,62704676825.0
这套5分钟级别交易策略，据频道主说可以达到99%胜率，投大带你体验一下#交易系统 #交易策略测试 #指标,投机实验室,98900,79673,117,https://www.youtube.com/watch?v=sdH4MpNhHEM,6660669609658.12
100%最强聪明钱交易策略，迄今为止胜率最高的价格行为外挂#Smart Money Concepts [LUX] #枢纽点指标 #供需交易,投机实验室,98900,105551,195,https://www.youtube.com/watch?v=FseZ57hxtPI,5294443572871.795
外汇交易10年来，这是我用过胜率最高的外汇超短线战法！,阿萨外汇社区,13500,17829,56,https://www.youtube.com/watch?v=q0yOIhlQLFM,58023843750.0
测评不可思议的交易策略，本套交易方法已经被见证70万次，被我连续交易回测100次#交易策略#交易系统#交易策略回测,投机实验室,98900,209815,282,https://www.youtube.com/watch?v=QZT81Kllvag,7277463035992.908
【重塑交易！必看！】28 岁的Umar在交易中赚了1500万美元，他公开了超短线交易的秘诀和经常使他盈利的交易策略，值得所有交易员写在本子上，这是日内交易的真相#daytrading #umar,投机实验室,98900,91448,70,https://www.youtube.com/watch?v=Z7BRl3W_DHc,12778172744000.0
最佳进场时间#黄金外汇#外汇黄金#交易员技巧 #技术分析 #外汇策略,鼎鑫交易,6,3,0,https://www.youtube.com/watch?v=Gam4-fxD9bI,inf
【强烈推荐】顶级的交易策略，胜率/收益率/频率三率全优的神级交易系统#交易系统#交易策略回测#MACD,投机实验室,98900,132718,705,https://www.youtube.com/watch?v=fT4jb-I5zYc,1841337062099.291
黄金创2周单日最佳表现！只等破位了！ 2023-7-3【外汇黄金策略】,老邹说交易,1520,146,1,https://www.youtube.com/watch?v=DuUBpyvygtA,337318400.0
黄金交易策略——1万到100万美金都在运行的EA交易，是啥策略？,外汇信号,308,347,3,https://www.youtube.com/watch?v=OJg1s4Ufsb8,10972602.666666668
黄金要启动了！必涨！验证一波！2023-9-5【外汇黄金策略】,老邹说交易,1520,141,1,https://www.youtube.com/watch?v=Nm_7VNdpY6k,325766400.0
超强黄金外汇ea ，1万做到38万  ，源码无造假  ，tick测试也丝滑,他的办法,4370,4075,39,https://www.youtube.com/watch?v=Fq4CdH-E2nM,1995381217.948718
大道至简，高手交易很简单,黄金乔老大,2000,206,0,https://www.youtube.com/watch?v=5PV_f2lDI-8,inf
外汇交易策略：黄金即将大涨！我列举3个原因！,老邹说交易,1520,118,1,https://www.youtube.com/watch?v=-iLfPHO0F50,272627199.99999994
【推荐必看】国外最火的交易指标，从此告别MACD，配合最强成交量阻力指标100%让你兴奋，一定试试这个指标 #交易策略 #impulse macd #成交量,投机实验室,98900,75132,102,https://www.youtube.com/watch?v=pI1D2lpJCOk,7204724212941.177
黄金要暴跌了！就这个高点！    2023-8-9【外汇黄金策略】,老邹说交易,1520,155,1,https://www.youtube.com/watch?v=97XqhXBzb_o,358112000.0
黄金继续捞金！抓2点！2023-8-7【外汇黄金策略】,老邹说交易,1520,144,1,https://www.youtube.com/watch?v=_okJ6PLoQvY,332697600.0
黄金果然大涨了！今天还要继续！2023-8-30【外汇黄金策略】 #外汇 #外汇交易 #外汇投资 #黄金,老邹说交易,1520,216,1,https://www.youtube.com/watch?v=OlYJZ0E_S8s,499046400.0
最先進的黃金交易策略#外匯分析 #外匯投資 #外匯教學 #原油 #外匯 #黃金 #forex #forextrading #fvg #forexsignals,外匯EA程式交易 SMCICT CTMM2023Q1,112,53,0,https://www.youtube.com/watch?v=DNiOUnSgg84,inf
黄金先涨后跌！注意！关键价格是这3个！2023-9-18【外汇黄金策略】 #外汇 #外汇交易 #外汇分析 #黄金  #外汇投资,老邹说交易,1520,142,1,https://www.youtube.com/watch?v=4CXTQ3OLAQo,328076800.0
黄金如期上涨，再次完美达成预期，黄金未来走势如何呢？ #黄金 #今日金价 #国际金价,黄金乔老大,2000,262,0,https://www.youtube.com/watch?v=XN0Tozyoiyo,inf
黄金果然大涨！稳住！还要继续涨！2023-8-24【外汇黄金策略】 #外汇 #外汇交易 #黄金 #今日金价,老邹说交易,1520,189,1,https://www.youtube.com/watch?v=LYtHdpabfs0,436665600.0
黄金抄底成功！等破位K出现，还要涨！2023-7-26【外汇黄金策略】,老邹说交易,1520,98,3,https://www.youtube.com/watch?v=u_garvWXlXk,75473066.66666666
交易高手和菜鸟实战过程对比,黄金乔老大,2000,539,0,https://www.youtube.com/watch?v=-A8rsZh0ih4,inf
黄金还要涨！多头不止！2023-9-4【外汇黄金策略】 #外汇 #外汇交易 #外汇投资 #黄金,老邹说交易,1520,163,1,https://www.youtube.com/watch?v=R97U22hTqR8,376595200.0
黄金即将选择方向！未来金价走势如何？2023-5-10【外汇交易策略】,老邹说交易,1520,336,1,https://www.youtube.com/watch?v=9zXSCbUBv-s,776294400.0
黄金反攻上涨！今天有得赚了！2023-6-6【外汇黄金策略】,老邹说交易,1520,88,1,https://www.youtube.com/watch?v=g2egeBNbjpg,203315200.0
做交易一定要会看趋势方向,黄金乔老大,2000,463,0,https://www.youtube.com/watch?v=kvTdjDXAJiQ,inf
黄金果然大跌了！今天继续跌！2023-8-10【外汇黄金策略】,老邹说交易,1520,136,1,https://www.youtube.com/watch?v=d7enupHWuqw,314214400.0
美联储降息50基点，黄金上演暴跌剧本！ #今日金价 【黄金行情分析2024/9/19】 #国际金价 #黃金 #黃金 #炒外汇,黄金乔老大,2000,532,0,https://www.youtube.com/watch?v=KpJFtOtEPWI,inf
简单粗暴的方法 #forex #炒外汇 #trading #交易 #trader #黄金交易 #黄金 #交易策略,Louis Trading,226,74,2,https://www.youtube.com/watch?v=2OxyCpuQ5Ro,1889812.0
黄金还要继续大跌！就看这个压力高点！反弹就空！2023-8-18【外汇黄金策略】 #外汇 #黄金 #外汇交易 #今日金价,老邹说交易,1520,90,3,https://www.youtube.com/watch?v=VI45wmFY85o,69312000.0
CPI来袭！黄金要下跌了！破位空！【外汇交易策略】#外汇投资 #外汇 #外汇教学 #黄金,交易员老邹,271,13,1,https://www.youtube.com/watch?v=IRx4-B2oe14,954733.0
交易中如何寻找关键进场点位,黄金乔老大,2000,274,1,https://www.youtube.com/watch?v=VBoTaK38lqk,1095999999.9999998
黄金虽然暂时下跌，但是回踩后依然看涨！ #黄金 #今日金价 #国际金价,黄金乔老大,2000,293,0,https://www.youtube.com/watch?v=wHX45DX0Cgo,inf
【9月5号 外汇黄金策略】我觉得，黄金要启动了！金子开涨  #外汇 #外汇交易 #外汇投资 #黄金,老邹说交易,1520,161,1,https://www.youtube.com/watch?v=fK6cpJ4K5f0,371974400.0
黄金看涨，我赚了吗？同时警惕今晚CPI！2023-6-13【外汇黄金策略】,老邹说交易,1520,115,1,https://www.youtube.com/watch?v=BUIqG1ifW5A,265696000.0
黄金要大涨了！今天开启抄底计划！2023-8-22【外汇黄金策略】 #外汇 #黄金 #外汇交易 #今日金价,老邹说交易,1520,152,1,https://www.youtube.com/watch?v=zegDQtw15As,351180800.0
趋势反转，黄金看涨 #外汇 #外汇交易 #外汇分析 #外汇投资 #外汇技术#今日金价,Andy玩交易,762,171,0,https://www.youtube.com/watch?v=CFKwmY7SliA,inf
【9月1号 黄金策略】大非农来了！黄金还能涨吗？ #外汇 #外汇投资 #外汇交易 #黄金,老邹说交易,1520,124,1,https://www.youtube.com/watch?v=rCov6JKpaBc,286489600.0
黄金继续看涨！关注2个回踩点！2023-8-28【外汇黄金策略】 #外汇 #外汇交易 #外汇投资 #黄金,老邹说交易,1520,104,1,https://www.youtube.com/watch?v=tWs-Itcd58U,240281600.0
【8月23号 外汇黄金策略】注意！黄金继续抄底计划！大赚机会来了！ #外汇 #黄金 #外汇交易 #金价,老邹说交易,1520,95,1,https://www.youtube.com/watch?v=Y6HjUbHbjOc,219488000.0
黄金突然暴跌，还会继续下跌吗？#黄金 #今日金价 #国际金价,黄金乔老大,2000,454,0,https://www.youtube.com/watch?v=iEG4ABLddhI,inf
【8月30号 黄金策略】黄金大涨20美金！果然大涨了！还要继续  #外汇 #外汇交易 #外汇投资 #黄金,老邹说交易,1520,101,1,https://www.youtube.com/watch?v=pD_ixPd30gA,233350400.0
黄金果然回踩再涨！今天继续！2023-8-25【外汇黄金策略】 #外汇 #外汇交易 #外汇投资 #黄金,老邹说交易,1520,130,1,https://www.youtube.com/watch?v=KBuwJb4zXJI,300352000.0
黄金多头太强势！即将破2000！#外汇 #国际金价 #黄金 #外汇黄金,老邹说交易,1520,161,1,https://www.youtube.com/watch?v=fUc7_fh_ogQ,371974400.0
1885了！黄金跌势不减！还要继续跌！2023-8-21【外汇黄金策略】 #外汇 #黄金 #外汇交易 #今日金价,老邹说交易,1520,104,1,https://www.youtube.com/watch?v=9_j4aSZTiuk,240281600.0
