Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
XAGUSD | Silver Price Action Trading Idea for 7 - 11 October 2024 by CYNS on Forex,CYNS on Forex,19800,183,2,https://www.youtube.com/watch?v=9l-wzWjvCfM,35871660000.0
Gold Live Trading XAUUSD | Silver Live Trading XAGUSD | Live Signals,Ocs Ai Trader,1930,1337,0,https://www.youtube.com/watch?v=cRMXWsl8pAY,inf
XAGUSD Forex Signal! - Today Analysis #XAGUSD,Porsaj Finance Academy,1640,0,0,https://www.youtube.com/watch?v=lYPgQDvAtYo,
XAGUSD | Silver Weekly Technical Analysis for 30 Sep - 4 Oct 2024 by CYNS on Forex,CYNS on Forex,19800,214,0,https://www.youtube.com/watch?v=-oB5XtMLlaE,inf
XAGUSD Forex Signal! - Today Analysis #XAGUSD,Porsaj Finance Academy,1640,0,0,https://www.youtube.com/watch?v=cYaWGhBrdSg,
XAGUSD Forex Signal! - Today Analysis #XAGUSD,Porsaj Finance Academy,1640,0,0,https://www.youtube.com/watch?v=OcDgGdDpP48,
XAGUSD | Silver Daily Technical Analysis for 2nd October 2024 by CYNS on Forex,CYNS on Forex,19800,175,0,https://www.youtube.com/watch?v=BbvM1GRG6Po,inf
XAGUSD Forex Signal! - Today Analysis #XAGUSD,Porsaj Finance Academy,1640,4,0,https://www.youtube.com/watch?v=1xUrXHGV7Ds,inf
XAGUSD Forex Signal! - Today Analysis,Porsaj Finance Academy,1640,7,0,https://www.youtube.com/watch?v=vAWdICzbOZU,inf
"🔥😱 1,000💲 XAGUSD Profit in 24 Hours! 💰💵 💸#shorts #xauusd #xagusd",AChartMaster,7,24,1,https://www.youtube.com/watch?v=VwqzgfbAFpU,1176.0000000000002
ESTRATEGIA CON EL ORO GANADORA INCLUSO EN LAS CRISIS 💪 | Backtesteada Durante 4 Años (XAU/USD),Trading Studio,13200,27227,45,https://www.youtube.com/watch?v=Kq80CzB1ZvU,105422944000.00003
