Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
COMO busco una entrada en la plata XAG/USD como un profesional,Dante14k,21200,337,1,https://www.youtube.com/watch?v=mIP1zJzj24w,151461280000.0
The best time to trade XAGUSD (Silver) | What is the best time to trade silver?,TIOmarkets,5670,2664,8,https://www.youtube.com/watch?v=z4eD0HEzQfw,10705583700.0
Can You Profit Trading SILVER? - XAGUSD Forex Market Analysis,Transparent Fx Academy,149000,8596,22,https://www.youtube.com/watch?v=5rZxWNwmu90,8674536181818.183
Gold Live Trading XAUUSD | Silver Live Trading XAGUSD | Live Signals,Ocs Ai Trader,1930,1337,0,https://www.youtube.com/watch?v=cRMXWsl8pAY,inf
XAGUSD TRADE RUNNING IN PROFIT,FXDNA,8570,661,4,https://www.youtube.com/watch?v=0WOQboXUDoo,12136769725.0
How to trade Silver XAGUSD SELL H1. #forex #trading #forextrading,Inspiredman,440,552,3,https://www.youtube.com/watch?v=XWW8tCTq-rs,35622399.99999999
"🔴 XAGUSD LIVE TRADING SILVER I 🔥$1,000 DOLLAR A DAY STRATEGY I Watch My PROCESS 🎯",BK Trading Academy ,27300,3381,20,https://www.youtube.com/watch?v=my6ooK4TIaA,125991274500.00002
"XAGUSD Trading Analysis: Silver Retest Distribution Zone, Short Timing?#short #xagusd #silver",DayTrading,1410,601,1,https://www.youtube.com/watch?v=ZWTZlhzkm-s,1194848100.0
Silver Trading: Essential Tips for trading XAGUSD / Silver - FOREX TRADING STRATEGIES,Forex Trading Strategies,42200,1743,4,https://www.youtube.com/watch?v=JF8J3JH-p_k,776001030000.0
XAGUSD Forex Signal! - Today Analysis #XAGUSD,Porsaj Finance Academy,1640,0,0,https://www.youtube.com/watch?v=cYaWGhBrdSg,
"XAgusd , Live trading",Crazy Watch Tec,95,86,0,https://www.youtube.com/watch?v=xuKpBOlY9fI,inf
XAGUSD Forex Signal! - Today Analysis,Porsaj Finance Academy,1640,7,0,https://www.youtube.com/watch?v=vAWdICzbOZU,inf
