Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
XAUUSD Scalping Strategy,The Moving Average,958000,1294910,558,https://www.youtube.com/watch?v=oDOCBTYgCQM,2129788138422939.5
BEST Gold Trading Strategy You&#39;ll EVER SEE!,Trade with Pat,201000,180550,232,https://www.youtube.com/watch?v=rtl2EaJuWko,31441381681034.484
BEST Trend Following Strategies for GOLD. XAUUSD DAY TRADING in 2024 (Get MAXIMUM Pips),VasilyTrader,26100,15055,20,https://www.youtube.com/watch?v=Uvq5nhuzX9o,512780827499.99994
Make $3K Every DAY Trading GOLD (Easy Strategy),Trade with Pat,201000,199364,267,https://www.youtube.com/watch?v=nE9Zrf7HowY,30166685258426.965
3 Key Tips for Trading Gold!,TraderNick,455000,93997,95,https://www.youtube.com/watch?v=oc2zqnvsqi0,204839251842105.28
This GOLD Trading Strategy makes me $1000 a day,The Trading Geek,990000,753962,767,https://www.youtube.com/watch?v=AY7fWmE1CBk,963439577835723.5
"The Only GOLD Trading Strategy You Need to Turn 10$ to 1,800$ Daily",VasilyTrader,26100,98375,175,https://www.youtube.com/watch?v=dCRSkQpbENU,382937335714.2857
GOLDEN STRATEGY FOR GOLD ( XAUUSD ),Young Trader Viraj,155000,28585,203,https://www.youtube.com/watch?v=z7jmHFIRIgI,3383027709359.607
Best Gold Trading Strategy With 83% Winrate! (Insane Accuracy),Faiz SMC,128000,43590,265,https://www.youtube.com/watch?v=rXUDahzLjZM,2695013433962.2637
How to Trade XAU/USD: Best Gold Trading Strategy?,TraderNick,455000,420054,365,https://www.youtube.com/watch?v=yuFfAM2abhQ,238251176301369.84
EASIEST XAUUSD Trading Strategy ANYONE Can Do!,TheForexHeist,27700,16803,186,https://www.youtube.com/watch?v=BdQsxuIszbo,69315988548.38712
Best ICT Gold Trading Strategy That Works Every Time! (High Winrate),Faiz SMC,128000,341493,1072,https://www.youtube.com/watch?v=4ZY5OTWt3vU,5219236298507.463
Proven 5-Minute Forex Scalping Strategy for XAUUSD/GOLD. 🦁📈,Forex Trading Lions,14000,117348,35,https://www.youtube.com/watch?v=fSp-jMvNOhE,657148800000.0
Revealing My Ultimate Gold Trading Strategy,Kommon Forex,13100,40648,87,https://www.youtube.com/watch?v=8Fr7YVKXfcg,80179348045.977
I Discovered the Secret to XAUUSD Trading (Strategy) Pt. 1,Samuel Tochi,28800,64372,191,https://www.youtube.com/watch?v=pVT0d49f_gU,279542993089.00525
Gold Live Signals - XAUUSD TIME FRAME 5 Minute M5  |  Best Forex Strategy Almost No Risk,ForexLia,253000,10901606,0,https://www.youtube.com/watch?v=Cf9klXhb0G8,inf
The BEST Forex Trading Strategy for Gold *LIVE TRADING XAU/USD*,Jooviers Gems,535000,72923,178,https://www.youtube.com/watch?v=vJvlj3NkmtM,117260593679775.28
The Only GOLD (XAUUSD) Trading Strategy You Need in 2023,Samuel Tochi,28800,45040,140,https://www.youtube.com/watch?v=XsZ5ond_7n4,266842697142.85715
Top 3 Gold Trading Tips for 2024,BKTraders - Kathy Lien & Boris Schlossberg,62500,122857,184,https://www.youtube.com/watch?v=KkChMmTz9kU,2608207370923.9136
I Found An AMAZING Trend Following Strategy #shorts,TradingLab,1260000,1037613,675,https://www.youtube.com/watch?v=YV-gwsg2Ekc,2440465776000000.0
I Tested This Trading Strategy &amp; It Made 310%,TradingLab,1260000,1359456,736,https://www.youtube.com/watch?v=vQeyR1LMB7c,2932435252173913.0
Very PROFITABLE Trading Strategy with Only 1 Indicator! #shorts,Hyper Trade,60500,1568537,306,https://www.youtube.com/watch?v=10AQTV-xCzI,18762214229575.164
How To Predict Reversals,TradingLab,1260000,4593397,1819,https://www.youtube.com/watch?v=2A2CqCmDbl0,4009058316217702.0
🎯 99% Gold Secret Strategy,Saint Patrick Fx,28700,29961,51,https://www.youtube.com/watch?v=5-fGIKl8WdM,483893648823.5294
The HIGHEST Win Rate GOLD Scalping Strategy (83% Winrate),Trade with Pat,201000,73341,165,https://www.youtube.com/watch?v=kqN5qUFUY9E,17957877218181.82
BEST TradingView Indicator for Day Trading GOLD! (Easy STRATEGY),Trade with Pat,201000,121757,229,https://www.youtube.com/watch?v=5xR-Jhy6E2o,21480805925764.195
"Live Trading XAUUSD: $24,000 IN 1 HOUR! (EASY Forex Strategy)",TheForexHeist,27700,13651,98,https://www.youtube.com/watch?v=TsFDZr3A9_0,106880365204.08162
95% Profitable Forex Trading Strategy for XAUUSD,Saint Patrick Fx,28700,6657,4,https://www.youtube.com/watch?v=5i0aoiIGPHE,1370826082500.0
The best time to trade gold (XAUUSD) | Part 1 | Gold trading strategy,TIOmarkets,5670,59958,53,https://www.youtube.com/watch?v=F3fgiERWYQQ,36369504645.28302
How to Trade XAUUSD: Best Gold Trading Strategy in 2023,Petko Aleksandrov,62900,21232,21,https://www.youtube.com/watch?v=i2ZXJNwwaz0,4000118910476.1904
How to Trade XAUUSD: Best Gold Trading Strategy?,WillssFX,81800,52902,57,https://www.youtube.com/watch?v=q6NayXQgZFs,6210175061052.631
I Found A Trading Strategy With a 225% Profit Rate #shorts,TradingLab,1260000,1419315,584,https://www.youtube.com/watch?v=O2-oSMyzTzs,3858398106164383.0
