Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
XAU/USD Live trading Today|Gold Live signal 08/10/24| Forex &amp; Gold Signals|Live  Forex Trading Ideas,TradersAdda360,38500,9928,0,https://www.youtube.com/watch?v=3nahhEwMEdE,inf
Live Gold (XAUUSD) Trading &amp; Technical Analysis - My Gold Trading Strategy,Live Forex Trading,19200,5284,0,https://www.youtube.com/watch?v=Eada_ic8vO0,inf
$100+ Profit in GOLD | Risk Management #xauusd #xauusdscalping #xauusdsignals #forex #foryou #smc,Q.B FOREX,1860,263,0,https://www.youtube.com/watch?v=-vRO44jY2ko,inf
Live XAUUSD GOLD- My Trading Strategy-08/10/24,FOREX & GOLD,144000,11393,0,https://www.youtube.com/watch?v=Y0H-DUJ5oQQ,inf
GOLD TRADING STRATEGY TODAY 7-8 OCT | XAUUSD ANALYSIS TODAY 7-8 OCT | XAUUSD FORECAST TODAY 7-8 OCT,The Trader Next Door,63600,4139,41,https://www.youtube.com/watch?v=cweWDfVD4y4,408343644878.04877
EASY £500 PROFIT TRADING GOLD (XAUUSD),Poundkingforex,26900,3675,0,https://www.youtube.com/watch?v=_Seo569nCUw,inf
🔴Live TRADES today! | XAU/USD | GOLD CHART🔴#158,Lauritotrader,30300,4605,0,https://www.youtube.com/watch?v=H01-8PSvRMc,inf
Sniper Entry in GOLD #xauusdscalping #xauusd #xauusdforex #forextrading #forex #forexstrategy #smc,Q.B FOREX,1860,501,0,https://www.youtube.com/watch?v=zQMye8NYfL4,inf
XAUUSD entry breakdown #xauusd #gold #ictforex #trading #stockmarket,Supply and Demand Sniper,721,478,0,https://www.youtube.com/watch?v=KiHrX30JetU,inf
Link In description  |   Xauusd gold trading #trading #xauusd #xauusdforex #xauusdsignal,CivilianPipster,634,72,1,https://www.youtube.com/watch?v=k1oLQk4LbkY,28940831.999999996
🔥Profitable XAUUSD Trade: Lower Low Strategy Strikes Gold! 💰📊,Black Molecules FX,7,24,0,https://www.youtube.com/watch?v=rIZWBRCX-MI,inf
Best Trade Setup for XAUUSD💸Key Levels #forextrading #tradesetup #xauusd #tradingstrategy,FX Mining,18,161,0,https://www.youtube.com/watch?v=OSSoL37X76E,inf
• Forex Gold Trading Strategy Live | Forex Gold Live Trading Tutorial 2022,Precious Pips,4790,337103,284,https://www.youtube.com/watch?v=kY4jOziglF0,27234242754.577465
"Gold Trade Logic Explained #trading , #xauusd",Crypto Risee,4020,126,0,https://www.youtube.com/watch?v=zMshNrWTXgI,inf
Xauusd trading strategy for this week #xauusdscalping #tradingtips #trading #xauusdsig #forextrader,tradeloq,133,46,0,https://www.youtube.com/watch?v=tO5UtOF5E-I,inf
Best Strategy On Xauusd 🔥🔥 #xauusd #trading #forex,TITAN TRADER,14,119,0,https://www.youtube.com/watch?v=d1DGSntIdUw,inf
NFP News Trading 100% Profit  XAUUSD (Gold),Nazmul Forex,10100,447425,399,https://www.youtube.com/watch?v=cM91G8T7UzU,114390536967.41853
💰 Mastering the Gold Trade: Huge Profit with XAU/USD Strategy! 📈🔥 #DayTrading #Scalping,Gaming Trader,24,25,0,https://www.youtube.com/watch?v=D3x1o02SAU4,inf
😱XAU/USD Forex trading strategies #trading,The swing profits,8,30,1,https://www.youtube.com/watch?v=d3zBR5EmLoM,1920.0
best scalping strategy for xauusd #xauusd #forex #gold,ESK FX ,0,3,0,https://www.youtube.com/watch?v=sAe5AR1zD-0,
5 minutes scalping strategy to double your account in few hours #gbpjpy,Poundkingforex,26900,378627,135,https://www.youtube.com/watch?v=m8PA_2V1a94,2029468766444.4446
"Unlock the Secret to XAUUSD Trading Success! 📈 Buy Low, Sell High Strategy 🔥",Black Molecules FX,7,27,0,https://www.youtube.com/watch?v=fDcTzOnB0p0,inf
💥 XAU/USD Gold Trade Success – $100 Profit in One Session! 💰 #DayTrading #Forex,Gaming Trader,24,200,0,https://www.youtube.com/watch?v=TyEYMc6ooWw,inf
1:8 on XAU/USD on our live stream! 💥🚀#forex #live #trading #gold #xauusd,CCFCLUB,236,131,1,https://www.youtube.com/watch?v=eGgDMtT4fVY,7296176.000000001
The Best XAUUSD Trading Strategies,Forex World,1000,35,0,https://www.youtube.com/watch?v=ZAxYgsyMPKg,inf
xauusd jackpot trade | best news based signal channel |  forex trading  #shorts  #propfirm #forex,Boss of XAUUSD,81,91,0,https://www.youtube.com/watch?v=F7SOKFjPlws,inf
Easy Way To Trade Forex [Beginner Guide],Poundkingforex,26900,1470633,676,https://www.youtube.com/watch?v=1EuiyuBO7oA,1574208202855.0295
10$ TO 100$ #danialahmad #forex,DK FOREX,3710,441068,192,https://www.youtube.com/watch?v=mIgtnhK9oOY,31619291972.916664
Part 3 | $450--$30000 | $270 Profit in GOLD #xauusdscalping #xauusd #xauusdforex #forextrader #forex,Q.B FOREX,1860,197,0,https://www.youtube.com/watch?v=k2WYyXMPi6I,inf
Very PROFITABLE Trading Strategy with Only 1 Indicator! #shorts,Hyper Trade,60500,1568537,306,https://www.youtube.com/watch?v=10AQTV-xCzI,18762214229575.164
Making $200 on Gold  #trading #icttrading #ictstrategy #xauusd  #shorts #tradingshorts,PWtrades,57,19,0,https://www.youtube.com/watch?v=QrD1odTmrFc,inf
XAU/USD TRADE Plan For Friday #goldliveanalysis #forexstrategies #forexstrategy,NAVI TRADER LIVE,140,28,1,https://www.youtube.com/watch?v=msbGq_bnnH4,548800.0
Quick trade breakdown of how i made 2% profit #trading #xauusd   with this strategy 🤯🤯 #daytrading,The Swan FX,64,416,0,https://www.youtube.com/watch?v=3sJnXQUbb7A,inf
💰 Mastering Gold Trades: Epic XAU/USD Strategy Unleashed! #forex #goldtrading #daytrading,Gaming Trader,24,14,0,https://www.youtube.com/watch?v=r6OHdRwfhyU,inf
Mastering GOLD ( XAU/USD ) 5-Minute Timeframe Trading,SPEKTRADES,4200,358,0,https://www.youtube.com/watch?v=gwIBkyWpLGw,inf
1000usd profit Xau/usd gold mining traders base #trading  #forexlive #bitcoin #xauusd #xauusdforex,TRADER'S BASE,6,256,1,https://www.youtube.com/watch?v=HDMaCnjvC50,9216.0
Gold’s on the move! 🚀 Just made a trade on XAU/USD #XAUUSD #GoldTrading #ForexLife #MarketMoves&quot;,JudeFX,11,2,0,https://www.youtube.com/watch?v=WbIBj1hopU0,inf
xauusd jackpot trade | best news based signal channel |  forex trading  #shorts  #propfirm #trading,Boss of XAUUSD,81,893,0,https://www.youtube.com/watch?v=YcAZmBbpbsM,inf
Forex Trading Gold (XAU/USD) Analysis #trading #forex #stockmarket #shorts #goldtrading #priceaction,ZyusFX,12800,787,2,https://www.youtube.com/watch?v=sxW9Oh61Y4g,64471040000.0
Gold 1HR TF Setup to Trade #goldliveanalysis #forex #xauusd,NAVI TRADER LIVE,140,281,0,https://www.youtube.com/watch?v=_KROmql_hT4,inf
ALL YOU NEED IS ONE CURRENCY PAIRS TO BECOME A PROFITABLE TRADER (Forex market liquidity),Poundkingforex,26900,747361,380,https://www.youtube.com/watch?v=09ixYM_cb5Y,1423152350552.6316
