Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
XAUUSD Scalping Strategy,The Moving Average,958000,1294914,558,https://www.youtube.com/watch?v=oDOCBTYgCQM,2129794717376344.0
BEST Trend Following Strategies for GOLD. XAUUSD DAY TRADING in 2024 (Get MAXIMUM Pips),VasilyTrader,26100,15055,20,https://www.youtube.com/watch?v=Uvq5nhuzX9o,512780827499.99994
Make $3K Every DAY Trading GOLD (Easy Strategy),Trade with Pat,201000,199386,267,https://www.youtube.com/watch?v=nE9Zrf7HowY,30170014179775.273
BEST Gold Trading Strategy You&#39;ll EVER SEE!,Trade with Pat,201000,180553,232,https://www.youtube.com/watch?v=rtl2EaJuWko,31441904107758.62
This GOLD Trading Strategy makes me $1000 a day,The Trading Geek,990000,753968,767,https://www.youtube.com/watch?v=AY7fWmE1CBk,963447244850065.4
"The Only GOLD Trading Strategy You Need to Turn 10$ to 1,800$ Daily",VasilyTrader,26100,98375,175,https://www.youtube.com/watch?v=dCRSkQpbENU,382937335714.2857
EASIEST XAUUSD Trading Strategy ANYONE Can Do!,TheForexHeist,27700,16803,186,https://www.youtube.com/watch?v=BdQsxuIszbo,69315988548.38712
I Discovered the Secret to XAUUSD Trading (Strategy) Pt. 1,Samuel Tochi,28800,64372,191,https://www.youtube.com/watch?v=pVT0d49f_gU,279542993089.00525
Proven 5-Minute Forex Scalping Strategy for XAUUSD/GOLD. 🦁📈,Forex Trading Lions,14000,117349,35,https://www.youtube.com/watch?v=fSp-jMvNOhE,657154400000.0
GOLD TRADING STRATEGY TODAY 8-9 OCT | XAUUSD ANALYSIS TODAY 8-9 OCT | XAUUSD FORECAST TODAY 8-9 OCT,The Trader Next Door,63600,2213,32,https://www.youtube.com/watch?v=_4WqJdslnos,279734265000.00006
How to Trade XAU/USD: Best Gold Trading Strategy?,TraderNick,455000,420067,365,https://www.youtube.com/watch?v=yuFfAM2abhQ,238258549794520.56
My favourite supply and demand playbook on XAUUSD | Forex Day Trading,Sully's Advice,69100,22511,39,https://www.youtube.com/watch?v=KhF3xw84A1Y,2756044818205.128
GOLDEN STRATEGY FOR GOLD ( XAUUSD ),Young Trader Viraj,155000,28585,203,https://www.youtube.com/watch?v=z7jmHFIRIgI,3383027709359.607
XAUUSD Scalping Strategy: 5 Minutes Timeframe !,Transparent Fx Academy,149000,51597,37,https://www.youtube.com/watch?v=njjug8HxiUM,30959594513513.516
Best ICT Gold Trading Strategy That Works Every Time! (High Winrate),Faiz SMC,128000,341499,1072,https://www.youtube.com/watch?v=4ZY5OTWt3vU,5219328000000.0
Gold / XAUUSD scalping trading strategy for high profits,The Trading Guide,35800,22958,108,https://www.youtube.com/watch?v=Zc8G2VFAYJc,272443436296.29636
The BEST Forex Trading Strategy for Gold *LIVE TRADING XAU/USD*,Jooviers Gems,535000,72923,178,https://www.youtube.com/watch?v=vJvlj3NkmtM,117260593679775.28
The Ultimate Guide to Trading Gold (XAU/USD) | FREE COURSE,TraderNick,455000,111238,227,https://www.youtube.com/watch?v=jvrucuw38oo,101449546035242.3
GOLD TRADING STRATEGY MONDAY 7 OCT | XAUUSD ANALYSIS MONDAY 7 OCT | XAUUSD FORECAST MONDAY 7 OCT,The Trader Next Door,63600,4898,68,https://www.youtube.com/watch?v=y5HLUCckBW0,291356089411.7647
95% Profitable Forex Trading Strategy for XAUUSD,Saint Patrick Fx,28700,6657,4,https://www.youtube.com/watch?v=5i0aoiIGPHE,1370826082500.0
Scalping XAUUSD without failing a single account? FTMO Trader shares his strategy! | FTMO,FTMO,397000,153057,224,https://www.youtube.com/watch?v=Yc-fwhNz8do,107692681754464.28
Top 3 Gold Trading Tips for 2024,BKTraders - Kathy Lien & Boris Schlossberg,62500,122857,184,https://www.youtube.com/watch?v=KkChMmTz9kU,2608207370923.9136
Gold Live Signals - XAUUSD TIME FRAME 5 Minute M5  |  Best Forex Strategy Almost No Risk,ForexLia,253000,10901740,0,https://www.youtube.com/watch?v=Cf9klXhb0G8,inf
How I Made $2500 LIVE Trading XAUUSD | Forex Supply &amp; Demand Strategy,Sully's Advice,69100,16047,61,https://www.youtube.com/watch?v=EykLC5p06PE,1256088132295.082
