Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
XAUUSD Scalping Strategy,The Moving Average,959000,1298447,559,https://www.youtube.com/watch?v=oDOCBTYgCQM,2136237988205724.8
BEST Trend Following Strategies for GOLD. XAUUSD DAY TRADING in 2024 (Get MAXIMUM Pips),VasilyTrader,26200,15538,22,https://www.youtube.com/watch?v=Uvq5nhuzX9o,484813850909.0909
BEST Gold Trading Strategy You&#39;ll EVER SEE!,Trade with Pat,202000,182184,238,https://www.youtube.com/watch?v=rtl2EaJuWko,31234604773109.246
Make $3K Every DAY Trading GOLD (Easy Strategy),Trade with Pat,202000,200254,269,https://www.youtube.com/watch?v=nE9Zrf7HowY,30376075152416.36
This GOLD Trading Strategy makes me $1000 a day,The Trading Geek,993000,759747,767,https://www.youtube.com/watch?v=AY7fWmE1CBk,976724601829204.6
3 Key Tips for Trading Gold!,TraderNick,456000,96066,96,https://www.youtube.com/watch?v=oc2zqnvsqi0,208078956000000.0
Best ICT Gold Trading Strategy That Works Every Time! (High Winrate),Faiz SMC,128000,345281,1112,https://www.youtube.com/watch?v=4ZY5OTWt3vU,5087305669064.748
How to Trade XAU/USD: Best Gold Trading Strategy?,TraderNick,456000,420579,365,https://www.youtube.com/watch?v=yuFfAM2abhQ,239598671079452.03
Live XAUUSD GOLD- My Trading Strategy-11/10,FOREX & GOLD,145000,9521,0,https://www.youtube.com/watch?v=eCkiIoJwCOg,inf
How I Made $2500 LIVE Trading XAUUSD | Forex Supply &amp; Demand Strategy,Sully's Advice,70400,16198,61,https://www.youtube.com/watch?v=EykLC5p06PE,1316063601311.4758
"The Only GOLD Trading Strategy You Need to Turn 10$ to 1,800$ Daily",VasilyTrader,26200,99447,176,https://www.youtube.com/watch?v=dCRSkQpbENU,387865901590.9091
My favourite supply and demand playbook on XAUUSD | Forex Day Trading,Sully's Advice,70400,22996,39,https://www.youtube.com/watch?v=KhF3xw84A1Y,2922355265641.0254
EASIEST XAUUSD Trading Strategy ANYONE Can Do!,TheForexHeist,27700,16860,186,https://www.youtube.com/watch?v=BdQsxuIszbo,69551125806.45161
"Gold Trading Strategy Explained - SMC, Supply and demand, liquidity xauusd trade breakdown",The Trading Academy,38700,24634,28,https://www.youtube.com/watch?v=7HD5ZG2MmeQ,1317646266428.5715
Top 3 Gold Trading Tips for 2024,BKTraders - Kathy Lien & Boris Schlossberg,62700,123535,184,https://www.youtube.com/watch?v=KkChMmTz9kU,2639412555163.0435
Best Gold Trading Strategy With 83% Winrate! (Insane Accuracy),Faiz SMC,128000,45921,276,https://www.youtube.com/watch?v=rXUDahzLjZM,2725977043478.2607
I Discovered the Secret to XAUUSD Trading (Strategy) Pt. 1,Samuel Tochi,28900,64637,191,https://www.youtube.com/watch?v=pVT0d49f_gU,282646433350.7853
XAUUSD Scalping Strategy: 5 Minutes Timeframe !,Transparent Fx Academy,149000,51934,37,https://www.youtube.com/watch?v=njjug8HxiUM,31161803621621.63
