Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
Top 3 Gold Trading Tips for 2024,BKTraders - Kathy Lien & Boris Schlossberg,62700,123535,184,https://www.youtube.com/watch?v=KkChMmTz9kU,2639412555163.0435
BEST Trend Following Strategies for GOLD. XAUUSD DAY TRADING in 2024 (Get MAXIMUM Pips),VasilyTrader,26200,15538,22,https://www.youtube.com/watch?v=Uvq5nhuzX9o,484813850909.0909
The ONLY ICT Gold Trading Strategy That You Need To Know with a HIGH WINRATE!,SimulationFX,26900,12408,33,https://www.youtube.com/watch?v=uAL84CwKh3g,272077359999.99997
3 Key Tips for Trading Gold!,TraderNick,456000,96064,96,https://www.youtube.com/watch?v=oc2zqnvsqi0,208074624000000.0
BEST Gold Trading Strategy You&#39;ll EVER SEE!,Trade with Pat,202000,182184,238,https://www.youtube.com/watch?v=rtl2EaJuWko,31234604773109.246
"The Only GOLD Trading Strategy You Need to Turn 10$ to 1,800$ Daily",VasilyTrader,26200,99447,176,https://www.youtube.com/watch?v=dCRSkQpbENU,387865901590.9091
This GOLD Trading Strategy makes me $1000 a day,The Trading Geek,993000,759747,767,https://www.youtube.com/watch?v=AY7fWmE1CBk,976724601829204.6
The BEST Forex Trading Strategy for Gold *LIVE TRADING XAU/USD*,Jooviers Gems,536000,73118,178,https://www.youtube.com/watch?v=vJvlj3NkmtM,118014095101123.6
The Best Day Trading Strategy For Gold,illyrian forex,74100,13824,16,https://www.youtube.com/watch?v=arHSNeMm4-4,4744059839999.999
The HIGHEST Win Rate GOLD Scalping Strategy (83% Winrate),Trade with Pat,202000,74131,165,https://www.youtube.com/watch?v=kqN5qUFUY9E,18332371660606.06
XAUUSD Scalping Strategy,The Moving Average,959000,1298441,559,https://www.youtube.com/watch?v=oDOCBTYgCQM,2136228116853309.5
Best ICT Gold Trading Strategy That Works Every Time! (High Winrate),Faiz SMC,128000,345281,1112,https://www.youtube.com/watch?v=4ZY5OTWt3vU,5087305669064.748
Commodities Outlook - The Secrets to Trading Gold - Bloomberg,Bloomberg Originals,4220000,61174,37,https://www.youtube.com/watch?v=TcVgq0doQS4,2.9443542205405404e+16
"BEST Scalping Trading Strategy For Beginners (How To Scalp Forex, Stocks, and Crypto)",TradingLab,1260000,629958,1137,https://www.youtube.com/watch?v=XBcMiYK7qYY,879614178364116.0
Make $3K Every DAY Trading GOLD (Easy Strategy),Trade with Pat,202000,200254,269,https://www.youtube.com/watch?v=nE9Zrf7HowY,30376075152416.36
The Best Gold Trading Strategy Forex You will Ever See,Mathew Odong,6060,5737,52,https://www.youtube.com/watch?v=txKtzVKk9Rg,4051601792.3076925
