Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
XAUUSD Scalping Strategy,The Moving Average,959000,1298447,559,https://www.youtube.com/watch?v=oDOCBTYgCQM,2136237988205724.8
BEST Gold Trading Strategy You&#39;ll EVER SEE!,Trade with Pat,202000,182184,238,https://www.youtube.com/watch?v=rtl2EaJuWko,31234604773109.246
BEST Trend Following Strategies for GOLD. XAUUSD DAY TRADING in 2024 (Get MAXIMUM Pips),VasilyTrader,26200,15538,22,https://www.youtube.com/watch?v=Uvq5nhuzX9o,484813850909.0909
Make $3K Every DAY Trading GOLD (Easy Strategy),Trade with Pat,202000,200254,269,https://www.youtube.com/watch?v=nE9Zrf7HowY,30376075152416.36
This GOLD Trading Strategy makes me $1000 a day,The Trading Geek,993000,759747,767,https://www.youtube.com/watch?v=AY7fWmE1CBk,976724601829204.6
"The Only GOLD Trading Strategy You Need to Turn 10$ to 1,800$ Daily",VasilyTrader,26200,99447,176,https://www.youtube.com/watch?v=dCRSkQpbENU,387865901590.9091
3 Key Tips for Trading Gold!,TraderNick,456000,96064,96,https://www.youtube.com/watch?v=oc2zqnvsqi0,208074624000000.0
Best ICT Gold Trading Strategy That Works Every Time! (High Winrate),Faiz SMC,128000,345281,1112,https://www.youtube.com/watch?v=4ZY5OTWt3vU,5087305669064.748
Proven 5-Minute Forex Scalping Strategy for XAUUSD/GOLD. 🦁📈,Forex Trading Lions,14000,118791,36,https://www.youtube.com/watch?v=fSp-jMvNOhE,646751000000.0
EASIEST XAUUSD Trading Strategy ANYONE Can Do!,TheForexHeist,27700,16860,186,https://www.youtube.com/watch?v=BdQsxuIszbo,69551125806.45161
GOLDEN STRATEGY FOR GOLD ( XAUUSD ),Young Trader Viraj,155000,29198,203,https://www.youtube.com/watch?v=z7jmHFIRIgI,3455576108374.3843
How to Trade XAU/USD: Best Gold Trading Strategy?,TraderNick,456000,420579,365,https://www.youtube.com/watch?v=yuFfAM2abhQ,239598671079452.03
Best Gold Trading Strategy With 83% Winrate! (Insane Accuracy),Faiz SMC,128000,45916,276,https://www.youtube.com/watch?v=rXUDahzLjZM,2725680231884.058
Gold Live Signals - XAUUSD TIME FRAME 5 Minute M5  |  Best Forex Strategy Almost No Risk,ForexLia,254000,10956828,0,https://www.youtube.com/watch?v=Cf9klXhb0G8,inf
XAUUSD Scalping Strategy: 5 Minutes Timeframe !,Transparent Fx Academy,149000,51934,37,https://www.youtube.com/watch?v=njjug8HxiUM,31161803621621.63
Revealing My Ultimate Gold Trading Strategy,Kommon Forex,13100,40891,86,https://www.youtube.com/watch?v=8Fr7YVKXfcg,81596564069.76744
