Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
"🔴 XAGUSD LIVE TRADING SILVER I 🔥$1,000 DOLLAR A DAY STRATEGY I Watch My PROCESS 🎯",BK Trading Academy ,27300,3381,20,https://www.youtube.com/watch?v=my6ooK4TIaA,125991274500.00002
300 Pips Scalping XAGUSD | EASY Forex Strategy Trading SILVER (WATCH LIVE),Prestige Options,128000,11474,20,https://www.youtube.com/watch?v=fzkzDQ4ssCU,9399500800000.0
The best time to trade XAGUSD (Silver) | What is the best time to trade silver?,TIOmarkets,5670,2664,8,https://www.youtube.com/watch?v=z4eD0HEzQfw,10705583700.0
SILVER Trading Strategy Today 5.10.2024 | XAGUSD Analysis |XAGUSD Forecast #XAGUSD #SILVERanalysis,GetKnowTrading,8270,53,0,https://www.youtube.com/watch?v=jOuaSaLE-8I,inf
Silver Trading: Essential Tips for trading XAGUSD / Silver - FOREX TRADING STRATEGIES,Forex Trading Strategies,42200,1743,4,https://www.youtube.com/watch?v=JF8J3JH-p_k,776001030000.0
SILVER Trading Strategy Today 28.9.2024 | XAGUSD Analysis |XAGUSD Forecast #XAGUSD #SILVERanalysis,GetKnowTrading,8270,50,2,https://www.youtube.com/watch?v=TU_0LEwsWNc,1709822500.0
Can You Profit Trading SILVER? - XAGUSD Forex Market Analysis,Transparent Fx Academy,149000,8597,22,https://www.youtube.com/watch?v=5rZxWNwmu90,8675545318181.817
Is XAGUSD Silver A Good Pair To Trade | Why Trade Silver XAGUSD - FOREX TRADING STRATEGIES,Forex Trading Strategies,42200,73,1,https://www.youtube.com/watch?v=0rk8jOBxBko,130001320000.0
TRADING PRECIOUS METALS - TRADING XAUUSD XAGUSD SILVER AND GOLD - FOREX TRADING STRATEGIES,Forex Trading Strategies,42200,2513,0,https://www.youtube.com/watch?v=aQDLELO3Xo8,inf
Gold Live Trading XAUUSD | Silver Live Trading XAGUSD | Live Signals,Ocs Ai Trader,1930,1343,0,https://www.youtube.com/watch?v=cRMXWsl8pAY,inf
"My BEST Gold &amp; Silver Trading Setups This Week (XAUUSD, XAGUSD)",TraderNick,455000,8947,65,https://www.youtube.com/watch?v=_zNK315Y6cY,28496195000000.0
XAUUSD Scalping Strategy,The Moving Average,958000,1294914,558,https://www.youtube.com/watch?v=oDOCBTYgCQM,2129794717376344.0
"Making $15,000 Trading XAGUSD on Funded Accounts",Sam KB,43600,9465,49,https://www.youtube.com/watch?v=xF5HArKM_JM,367195640816.32654
SILVER Trading Strategy Today 21.9.2024 | XAGUSD Analysis |XAGUSD Forecast #XAGUSD #SILVERanalysis,GetKnowTrading,8270,61,0,https://www.youtube.com/watch?v=6Q7Y6w7xFLs,inf
"How To Trade Breakouts With Options + USDMXN, EURCHF, XAGUSD, XAUUSD, &amp; Amazon",Trading Strategy Guides,49300,1666,16,https://www.youtube.com/watch?v=BwhpHaLqV1w,253074771250.0
SILVER/Xagusd long from support#short #trading #intraday #youtubeshorts #yearofyou #shortvideo $$$,Knock Trading,620,1237,0,https://www.youtube.com/watch?v=de7u-ujjt2A,inf
Xagusd D1 40% gains best level to buy Hold silver(XABCD)#shorts #intraday #trading #yearofyou $$$,Knock Trading,620,1318,0,https://www.youtube.com/watch?v=K6BrDz-EVRg,inf
🔴Live Silver-XAG 5 Minute Buy And Sell Signals-Trading Signals- Scalping Strategy-Diamond Algo,Forex & Crypto Live,42900,49686,0,https://www.youtube.com/watch?v=Y7JB5ELl6Nc,inf
SILVER Trading Strategy Today 14.9.2024 | XAGUSD Analysis |XAGUSD Forecast #XAGUSD #SILVERanalysis,GetKnowTrading,8270,71,1,https://www.youtube.com/watch?v=KKmSY67dIwI,4855895900.0
XAGUSD Trading Strategy | Live Analysis,WillSebastian TTM,1260,65,0,https://www.youtube.com/watch?v=ZLQprOPAUaU,inf
XAGUSD | Silver Daily Technical Analysis for 23 September 2024 by CYNS on Forex,CYNS on Forex,19800,153,1,https://www.youtube.com/watch?v=tZUnIm8mzEg,59982119999.99999
Silver (XAGUSD) Market Trading Strategy,WillSebastian TTM,1260,36,0,https://www.youtube.com/watch?v=ZL_80bOh2qE,inf
HOW TO TRADE 100 PIP A DAY WITH XAUUSD &amp; XAGUSD | FOREX EASY HIGH WIN RATE STRATEGY,EZ Forex,24800,737,18,https://www.youtube.com/watch?v=y1qvvYFSrxY,25182471111.11111
"XAGUSD/SILVER SELL forex trading for beginners, professional, prices analysis strategies",RealTim FxTraders,157,1704,0,https://www.youtube.com/watch?v=eShTg42DqzQ,inf
"XAGUSD Forex Analysis: Intraday Trading Strategies for Silver Market | Silver Forecast June 23, 2023",DailyForex,50500,186,0,https://www.youtube.com/watch?v=xGD6ww6MHmU,inf
#XAGUSD new free signal! #forex #Silver #Trading #signal #FreeSignal #Strategy #BestTradingStrategy,Green Trading,11,140,0,https://www.youtube.com/watch?v=eUci-HFMojM,inf
"XAG/USD Trading Strategy: Shorting Silver May Not Be Advisable Today | Silver Forecast June 9, 2023",DailyForex,50500,139,0,https://www.youtube.com/watch?v=hgrCi_kbeSk,inf
"🔥😱 1,000💲 XAGUSD Profit in 24 Hours! 💰💵 💸#shorts #xauusd #xagusd",AChartMaster,7,24,1,https://www.youtube.com/watch?v=VwqzgfbAFpU,1176.0000000000002
"XAGUSD Elliott Wave Analysis | Silver Analysis | October 4, 2024 | SILVER Analysis Today",Forex Forecast | Elliott Wave Analysis ReadyForex,8470,170,0,https://www.youtube.com/watch?v=mpl-8bCgC-Y,inf
Trading Strategy for XAUUSD &amp; XAGUSD - Technical Analysis 5 May,Ankit Jain-Official,47900,1161,13,https://www.youtube.com/watch?v=yySXAcgUEKE,204908462307.6923
SILVER Trading Strategy Today 9.9.2024 | XAGUSD Analysis |XAGUSD Forecast #XAGUSD #SILVERanalysis,GetKnowTrading,8270,76,1,https://www.youtube.com/watch?v=NHtEk3MXhEk,5197860400.0
(054) Best Trading Strategy - 34.1% profit - XAGUSD(Silver)/15m,Trading Elephant - NEW Videos after 1000 Subs,439,102,1,https://www.youtube.com/watch?v=SoSrGrGCv6U,19657542.0
Gold &amp; Silver Ratio Trading Strategy | Powerful way to trade Gold and Silver | XAU/XAG,Money Markers,10400,2991,15,https://www.youtube.com/watch?v=kqZrkG3BW6o,21567104000.0
"XAG/USD Trading Advice : Today&#39;s Top Strategies | Silver Analysis | Silver Forecast August 15, 2023",DailyForex,50500,133,0,https://www.youtube.com/watch?v=y3i_HiqDAio,inf
"XAGUSD Elliott Wave Analysis | Silver Analysis | October 8, 2024 | SILVER Analysis Today",Forex Forecast | Elliott Wave Analysis ReadyForex,8470,75,0,https://www.youtube.com/watch?v=XitAt3qcOwU,inf
Gold &amp; Silver Price Today- Trading Strategy for XAUUSD &amp; XAGUSD - Technical Analysis 20 May,Ankit Jain-Official,47900,1054,6,https://www.youtube.com/watch?v=aZPMF3LyzHY,403051356666.6666
XAGUSD: 💲😱The Rise of Silver &amp; The Fall of gold #xagusd #xauusd #shorts #short #morning,AChartMaster,7,15,2,https://www.youtube.com/watch?v=trRKfdriHAc,367.5
Silver Trading Strategy | XAG/USD | MCX Silver | MCX Silver Mini | MCX Silver Trading Strategy,Trading Core,1160,1356,4,https://www.youtube.com/watch?v=6w56B-5ClAw,456158400.0
Silver: look for SELL/BUY setups? (XAUUSD technical analysis Today),Trading Chart Analysis,13800,11624,4,https://www.youtube.com/watch?v=LF5tB7OD1Us,553418640000.0
xagusd pair target achieve 🎯🔥 support and resistance trading strategy,Trading Tradition,1900,87,0,https://www.youtube.com/watch?v=aDUUOlqrN0Y,inf
xagusd pair trading results 😍 support and resistance trading strategy 🎉🔥,Trading Tradition,1900,807,0,https://www.youtube.com/watch?v=d8LoLVje_SY,inf
Gold XAUUSD Trading Strategy Today 05 April | XAUUSD Analysis Today | Silver XAGUSD Strategy 05 Apr,Ankit Jain-Official,47900,1265,3,https://www.youtube.com/watch?v=QEL03ElNaQo,967476216666.6667
Best Profit Strategy For Trading Forex Silver Today | Silver XAGUSD Trading Strategy Today 24-25 Jan,Ankit Jain-Official,47900,168,1,https://www.youtube.com/watch?v=TMVDmH3uaZY,385460880000.0
SILVER Trading Strategy Today 31.8.2024 | XAGUSD Analysis |XAGUSD Forecast #XAGUSD #SILVERanalysis,GetKnowTrading,8270,111,4,https://www.youtube.com/watch?v=3LzGGsyiFL4,1897902975.0
Trading Strategy for XAUUSD &amp; XAGUSD - Technical Analysis 10 May,Ankit Jain-Official,47900,574,13,https://www.youtube.com/watch?v=Jwv4-bRP8W4,101307026153.84615
SILVER Trading Strategy Today 27.4.2024 | XAGUSD Analysis |XAGUSD Forecast #XAGUSD #SILVERanalysis,GetKnowTrading,8270,60,1,https://www.youtube.com/watch?v=jse3v-wnlKM,4103574000.0
Gold XAUUSD Trading Strategy Today 31 March | XAUUSD Analysis Today | Silver XAGUSD Strategy 31 Mar,Ankit Jain-Official,47900,1063,7,https://www.youtube.com/watch?v=_YnJ147npJI,348422547142.8572
"Making $15,000 on XAGUSD on Funded accounts | FTMO #forex #london",Sam KB,43600,3108,2,https://www.youtube.com/watch?v=XEz94G0ictY,2954091840000.0
XAGUSD | 00 WED | XAGUSD  Analysis today | xauusd trading strategy | XAUUSD CHART | XAUUSD NEWS MAY,Pips Traders,8440,449,1,https://www.youtube.com/watch?v=0tAQIUHieQU,31983886400.0
