Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio,video_id
4 Reglas de oro para INVERTIR con éxito,Aprendiz Financiero,1530000,297380,171,https://www.youtube.com/watch?v=7t5iWCVcqB8,4070975684210527.0,7t5iWCVcqB8
I Found A Trading Strategy With a 225% Profit Rate #shorts,TradingLab,1260000,1419315,584,https://www.youtube.com/watch?v=O2-oSMyzTzs,3858398106164383.0,O2-oSMyzTzs
📈¿cómo proteger tus ganancias con GBM+? 🚀 // #inversiones,Luis Mi Negocios,1180000,278746,101,https://www.youtube.com/watch?v=ahyORu1V1cU,3842830994059407.0,ahyORu1V1cU
I Found An AMAZING Trend Following Strategy #shorts,TradingLab,1260000,1037584,675,https://www.youtube.com/watch?v=YV-gwsg2Ekc,2440397568000000.0,YV-gwsg2Ekc
XAUUSD Scalping Strategy,The Moving Average,958000,1294910,558,https://www.youtube.com/watch?v=oDOCBTYgCQM,2129788138422939.5,oDOCBTYgCQM
Millionaire trader gives away his secret trading strategy,Humbled Trader,1270000,1112517,853,https://www.youtube.com/watch?v=PBQW98QIqDQ,2103609225439624.8,PBQW98QIqDQ
"LIVE TRADING Forex $500 to $10,000 Challenge #shorts","Chris ""Swaggy C"" Williams",566000,347269,130,https://www.youtube.com/watch?v=QOaL1Lwmoj0,855766982800000.0,QOaL1Lwmoj0
Cómo Invertir en Trading y Ganar Dinero Desde 0 | Curso de Trading Forex,El Sensei,773000,699757,1343,https://www.youtube.com/watch?v=m-YH25FJVJY,311336634737900.25,m-YH25FJVJY
"LA ESTRATEGIA QUE ME DIO $120,000 USD EN ENERO",El Sensei,773000,590962,1536,https://www.youtube.com/watch?v=jpzRaYM6cgM,229893836522135.44,jpzRaYM6cgM
Cómo INVERTIR en ORO 2024,BaiJavier,750000,55602,200,https://www.youtube.com/watch?v=pxMDa9Ht2Oc,156380625000000.0,pxMDa9Ht2Oc
700% Profit In ONE Trade Using A Secret Indicator 🤯 #shorts,Power of Trading,304000,1094473,648,https://www.youtube.com/watch?v=FL48uisUtdk,156090766617283.94,FL48uisUtdk
