Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
XAU/USD Live trading Today|Gold Live signal 08/10/24| Forex &amp; Gold Signals|Live  Forex Trading Ideas,TradersAdda360,38500,10335,0,https://www.youtube.com/watch?v=3nahhEwMEdE,inf
"How to Trade XAU/USD: Best Gold Trading Strategy? (11 MAR,2022) #short #xauusd #gold",DayTrading,1410,40893,8,https://www.youtube.com/watch?v=KWHHfz-Nj9o,10162421662.499998
XAUUSD Scalping Indicator With Backtested Strategy.,Wedge Trader,2960,44785,22,https://www.youtube.com/watch?v=Xo2bS_MdFf4,17835829818.181816
How To Trade Gold (XAU/USD) In 2024 #trading #trader #forex #xauusd #gold,Words of Rizdom,237000,21297,17,https://www.youtube.com/watch?v=JAgP1f1wH0o,70366540764705.89
Gold 2100$ or 1500$ ? | Gold Trading Strategy Set-up #forextips #xauusd #trade #tradingstrategy,Gold Forex Trading,587,1456,1,https://www.youtube.com/watch?v=OkQ75WqYVnE,501692464.0
how i made 700$ in 2 minutes || GOLD PROFITS #daytrading #xauusd,EAGLE EYE - FOREX,3670,1328,3,https://www.youtube.com/watch?v=AubCC7jCvfE,5962233066.666666
XAU/USD Analysis 01/10/24 #xauusd #forex,Forex Factory,934,90,0,https://www.youtube.com/watch?v=U8emZYJR4pU,inf
XAUUSD Scalping Strategy # shorts,YouTube Automation,27,3289,3,https://www.youtube.com/watch?v=1kbxqLIUDSo,799227.0
XAU USD (GOLD ) &amp; MARKET  LIVE ANALYSIS  @TRADEWITHCP,Tradewithcp.,134,25,0,https://www.youtube.com/watch?v=j1XiwB2IgPU,inf
Master XAUUSD Gold Technical Analysis Today,Trading Walk,33500,28786,4,https://www.youtube.com/watch?v=qvrbG1oIatI,8076272125000.0
Live XAUUSD GOLD- My Trading Strategy-08/10/24,FOREX & GOLD,144000,11932,0,https://www.youtube.com/watch?v=Y0H-DUJ5oQQ,inf
Live Gold (XAUUSD) Trading &amp; Technical Analysis - My Gold Trading Strategy,Live Forex Trading,19200,5355,0,https://www.youtube.com/watch?v=Eada_ic8vO0,inf
XAUUSD Gold Technical Analysis Levels Revealed,Trading Walk,33500,20769,5,https://www.youtube.com/watch?v=sJPfpIcBHvM,4661602049999.999
💰 Mastering Gold Trades: Epic XAU/USD Strategy Unleashed! #forex #goldtrading #daytrading,Gaming Trader,24,14,0,https://www.youtube.com/watch?v=r6OHdRwfhyU,inf
"$96 to $1,000 IN JUST ONE DAY TRADING XAUUSD!!!(GOLD)Part 2",JeffTheProfit,1540,8318,42,https://www.youtube.com/watch?v=nHhbrWKzh5c,469689733.3333333
XAU/USD Forecast 05/10/24 #xauusd #forex,Forex Factory,934,117,0,https://www.youtube.com/watch?v=dPRrJ92cP6A,inf
XAUUSD analysis: how to setup short trade gold for day trading?,Trading Chart Patterns,824,3481,0,https://www.youtube.com/watch?v=KOU5nEM5mvA,inf
How I Made $500 in 1 Hour Day Trading Gold (XAUUSD) #shorts #daytrading #xauusd,The Trader’s Playbook,7160,803,3,https://www.youtube.com/watch?v=O6EvYf00aJQ,13722092266.666668
3 Profitable Trading Strategies #shorts #forex #daytrading #xauusd,EAGLE EYE - FOREX,3670,1833,1,https://www.youtube.com/watch?v=Xj2yIlkbUGk,24688493700.0
#forex #live #trade #gold #xauusd #livetrading,TradeHubFX,4860,37868,26,https://www.youtube.com/watch?v=rfoeC_-N4AU,34401038953.84615
1000usd profit Xau/usd gold mining traders base #trading  #forexlive #bitcoin #xauusd #xauusdforex,TRADER'S BASE,6,256,1,https://www.youtube.com/watch?v=HDMaCnjvC50,9216.0
Gold (XAU/USD) Buy Sell Signal Indicator in Tradingview #shorts #tradingview,Power of Trading,304000,14894,23,https://www.youtube.com/watch?v=pWTlfbp9GXU,59845387130434.78
This indicator will help you predict market moves in Tradingview #shorts #forex #forextrading,Easy Forex Pips,229000,872110,147,https://www.youtube.com/watch?v=uT0oXwT1ttg,311117826598639.44
Forex trading Live profits in India XAU/USD #forex #daytrading #forexforbeginners #forexbasics,Market psycho,281,1906,0,https://www.youtube.com/watch?v=VpQvKRYWYZM,inf
XAUUSD LIVE signal performance #forex #shorts #trending #viral #xauusd,Trade Track,8570,1520,7,https://www.youtube.com/watch?v=fc3Ci6Qh5dY,15948035428.571428
Very PROFITABLE Trading Strategy with Only 1 Indicator! #shorts,Hyper Trade,60500,1568563,306,https://www.youtube.com/watch?v=10AQTV-xCzI,18762525231209.152
How I made 16k Dollar on Gold (XAU/USD)  in 20  mints of Trading Forex,Ward Finance ,18900,2059,9,https://www.youtube.com/watch?v=pYAYi87v2VQ,81721710000.0
Сделка по XAU/USD за 50 секунд! #shorts,"Стратегия ""Снайпер"" | Мир трейдинга",23300,1480,2,https://www.youtube.com/watch?v=iDEr9aFsogg,401738600000.0
GOLD (XAUUSD) Forecast &amp; Analysis this week: what&#39;s the trading signal??,Trading Chart Analysis,13800,25422,7,https://www.youtube.com/watch?v=dOVL9w0aD-U,691623668571.4286
Gold Update in Current Situation#trending #xauusd #analysis #gold#trade#viralvideo#viraltopics,Forex Learning,7880,2408,12,https://www.youtube.com/watch?v=iLwM2muEefY,12460276266.666668
xauusd .. gold .. 150$ profits .. #forex #xauusd #gold #forexsignals,EG-Finance Fx,20100,1405,2,https://www.youtube.com/watch?v=W_29owMINKY,283817025000.00006
• Forex Gold Trading Strategy Live | Forex Gold Live Trading Tutorial 2022,Precious Pips,4790,337105,284,https://www.youtube.com/watch?v=kY4jOziglF0,27234404332.746475
XAUUSD Strategy  CUP AND HANDLE PATTERN | CHART ANALYSIS | XAUUSD #FOREX  #GOLD #DAYTRADE #SHORTS,Pips Traders,8440,1296,0,https://www.youtube.com/watch?v=hQt41G2zlm8,inf
THE BEST SCALPING INDICATOR ON TRADINGVIEW | STRATEGY | SCALPING | 1MINUTE | #forex,Valor Algo,12100,659080,430,https://www.youtube.com/watch?v=0TnTKymJ_VE,224409076279.06976
Daytrade Xau/USD #forex,Mundo Aberto,37400,1044,0,https://www.youtube.com/watch?v=-NP_9xa3Oqw,inf
XAU USD TRADING IN DAY +200pips profit | BlancBanksAcademy #shorts,BLANCBANKS ACADEMY,2490,3841,0,https://www.youtube.com/watch?v=r0dEjX5LB6o,inf
Please check the current view on XAU/USD #trading # gold #forex,Elliott Wave Count,7040,3457,0,https://www.youtube.com/watch?v=nJMhefzRAXw,inf
The Best XAUUSD Trading Strategies,Forex World,1000,35,0,https://www.youtube.com/watch?v=ZAxYgsyMPKg,inf
Você opera Ouro? Então da uma olhada nessa estratégia aqui #ouro #xauusd,Wyllian Capucci,4540,5744,0,https://www.youtube.com/watch?v=0nUeYNQfnVs,inf
Milking GOLD (XAUUSD) #daytrader #forextrader #goldtrader,Samuel Tochi,28800,4198,14,https://www.youtube.com/watch?v=-yp4vzJel18,248713508571.42856
1:8 on XAU/USD on our live stream! 💥🚀#forex #live #trading #gold #xauusd,CCFCLUB,236,131,1,https://www.youtube.com/watch?v=eGgDMtT4fVY,7296176.000000001
XAUUSD Trading strategy,FX Technical analysis ,583,1442,1,https://www.youtube.com/watch?v=59yZz_SIXjo,490119938.00000006
Bulldozer strategy $800 to $8000+ on Gold xauusd💰 |CRISPYFX_KING,Crispyfx_king,2480,3884,6,https://www.youtube.com/watch?v=dZ2praERMw4,3981358933.3333335
1 MINUTE BREAKDOWN: GOLD (XAUUSD),Capital Hungry,118000,2581,41,https://www.youtube.com/watch?v=hQHXfmoSgHU,876532780487.8048
"XAUUSD: False breakout, Short entry for day trading? OR a bull about to run in Gold?",Trading Chart Analysis,13800,1309,0,https://www.youtube.com/watch?v=5cgfAqsW_aM,inf
700% Profit In ONE Trade Using A Secret Indicator 🤯 #shorts,Power of Trading,304000,1094489,648,https://www.youtube.com/watch?v=FL48uisUtdk,156093048493827.16
Trade Like Smart Money | XAU/USD | NY Session #shorts #ytshorts #smc,IMMORTAL ENIGMA,9690,1471,5,https://www.youtube.com/watch?v=d4hdmiatunc,27624232620.0
Trading CPI Gone Wrong🤦🏾. #forextrading #cpi #trading,Traders Entertainment,8690,1090169,856,https://www.youtube.com/watch?v=wjoaA-s1uF8,96174428996.37851
Powerful Forex Scalping Strategy | 339 Usd Live Profit Xauusd Gold Using 1 minutes scalping strategy,ForexLia,253000,1128,1,https://www.youtube.com/watch?v=BZR_T0qPk4E,72202152000000.0
Xauusd Analysis,IBULL TRADING,590,162,0,https://www.youtube.com/watch?v=gv6zyPgkqnA,inf
