Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
Индикаторная стратегия Снайпер для торговли золотом XAUUSD,Торговые стратегии,73600,9418,659,https://www.youtube.com/watch?v=PQt2PjSt5q4,77415674172.98936
Лучшая форекс стратегия для Золото,MarkOptions,16500,13643,169,https://www.youtube.com/watch?v=Mo6UdvRhbCw,21978146449.704144
Скальпинг золота XAUUSD на разных таймфреймах форекс,Торговые стратегии,73600,2756,33,https://www.youtube.com/watch?v=Pn1bSjKQ6q0,452398235151.51514
Как научиться торговать золото/доллар XAUUSD форекс,Пути к трейдингу,883,6936,39,https://www.youtube.com/watch?v=yqHGU5i4SUE,138664689.84615386
СТРАТЕГИЯ коротких СДЕЛОК: Лучшая 1-минутная торговая стратегия! [91% успеха],Gerchik & Co,152000,59697,113,https://www.youtube.com/watch?v=ZUdEaoWW79o,12205659185840.707
+3650 пунктов - Стратегия форекс «Грабеж» для XAUUSD (золота),Стратегии ФОРЕКС,13300,4304,15,https://www.youtube.com/watch?v=szTDxudeBhY,50755637333.33334
БЕЗУМНАЯ 1-минутная торговая стратегия скальпинга (97% WINRATE) 🤑🤑🤑,TrippaTrading русский,31400,488949,538,https://www.youtube.com/watch?v=e4kNmv-vAPQ,896067204535.316
"ЭФФЕКТИВНАЯ СТРАТЕГИЯ XAU_USD (ЗОЛОТО, ФОРЕКС)",BADIN trade,318,4452,12,https://www.youtube.com/watch?v=ySFi_Bi7Hjs,37517004.0
15 минутная стратегия форекс как заработать на 15 минутке,Торговые стратегии,73600,7003,383,https://www.youtube.com/watch?v=XM3dGw-WV7I,99046921357.70235
Самая простая стратегия для торговли криптовалютой новичкам #shorts,АРДЕНСКИЙ | Трейдинг и психология,69200,1664398,1291,https://www.youtube.com/watch?v=vqgyc9kbHT4,6173666025344.694
ЧТО ТАКОЕ СМАРТ МАНИ? | СТРАТЕГИЯ ПО КОТОРОЙ ТОРГУЮТ БАНКИ | СМАРТ МАНИ ТРЕДИНГ | SMART MONEY,Trading with BP,99800,1137784,2379,https://www.youtube.com/watch?v=7BojDq-o0LI,4763503216208.491
42. Особенности торговли золотом. Мастер-класс Андрея Шевченко,ИнстаФорекс,46400,9612,21,https://www.youtube.com/watch?v=ivgIi-L_FvM,985440548571.4286
XAUUSD STRATEGIYA 90% FOYDA BERADI,ABDULLOKH AKBAROV,41700,78816,360,https://www.youtube.com/watch?v=wt6a73WToIk,380700984000.0
Идеальный индикатор с точными сигналами. Индикатор без перерисовки. Форекс. Трейдинг.,Вячеслав Возный. ФОРЕКС. ОБУЧЕНИЕ. ТРЕЙДИНГ.,37600,50701,159,https://www.youtube.com/watch?v=lYQhafMZBXA,450811608553.459
+120% за 12 мес — Стратегия «TR-Gold» для XAU/USD (золото) на скользящей средней,Стратегии ФОРЕКС,13300,2229,1,https://www.youtube.com/watch?v=7ZBiG2ryjYw,394287810000.0
"+514,61% по паре XAUUSD (золото/GOLD) — Тест стратегии форекс «Грабёж»",Стратегии ФОРЕКС,13300,878,7,https://www.youtube.com/watch?v=9Oy_by-pH_c,22187060000.0
Скальпинг на ЗОЛОТЕ! Лучшая объёмная стратегия! #золото#scalping#трейдинг#forex#forextrading,Онлайн торговля на рынке FOREX! PRO ОБУЧЕНИЕ! ,5880,5134,9,https://www.youtube.com/watch?v=Q4MvwIHU2Ww,19722774400.0
Как торговать золото? Рабочая стратегия №1 на Forex,ОБУЧЕНИЕ ТРЕЙДИНГУ НА БИРЖЕ,5630,9580,36,https://www.youtube.com/watch?v=8Q6aEnhpviA,8434897277.777778
"Тест стратегии «Кортик» для XAUUSD (золота): +204,40%",Стратегии ФОРЕКС,13300,1839,1,https://www.youtube.com/watch?v=jzOWNXiatqs,325300710000.0
Торговая стратегия форекс для скальпинга на золоте,Торговые стратегии,73600,7561,242,https://www.youtube.com/watch?v=XonpdFYaSKE,169246423801.6529
НОВЫЙ трендовый индикатор на TradingView подает ТОЧНЫЕ сигналы на покупку и продажу,Лучшие стратегии торговли,2960,19563,18,https://www.youtube.com/watch?v=fdEGnYaY3zc,9522398933.333332
🔥Лучшая скальпинг стратегия торговли против толпы! Прибыль 400% к депозиту! #золото#forex#трейдинг,Онлайн торговля на рынке FOREX! PRO ОБУЧЕНИЕ! ,5880,7304,37,https://www.youtube.com/watch?v=vVv-TqZwL3Y,6825173448.648649
Безубыточная стратегия  на ● Форекс ● по Золоту XAU/USD ✨,Владимир Головатенко,1870,1021,15,https://www.youtube.com/watch?v=u9wIX03DDrw,238022326.66666666
Golden Boy - Торговая Стратегия Для Xauusd (Gold) [Стратегии Для Золота Форекс],Forex Review,166,1816,2,https://www.youtube.com/watch?v=Uaf8gULBieY,25020848.000000004
Golden Boy - Торговая Стратегия Для Xauusd (Gold) [Торговля Золотом На Форекс Стратегия],Forex Review,166,683,3,https://www.youtube.com/watch?v=Jte0AhSUrP4,6273582.666666666
Сделка по XAU/USD за 50 секунд! #shorts,"Стратегия ""Снайпер"" | Мир трейдинга",23300,1480,2,https://www.youtube.com/watch?v=iDEr9aFsogg,401738600000.0
Супер скальпинг по золоту/XAUUSD. ТЫ ЭТОГО ТОЧНО НЕ ЗНАЕШЬ!!! ПРОЕКТ М-30/Ч-7,Mr.Scalping - FOREX,5440,5844,183,https://www.youtube.com/watch?v=2acaq_G8W8s,945054636.0655738
Скальпинг золота. Прогноз XAUUSD. Алгоритм сделки.,ProffTrade,2220,6660,11,https://www.youtube.com/watch?v=XQ5Dr9M1U70,2983922181.818182
Live XAUUSD GOLD- My Trading Strategy-11/10,FOREX & GOLD,145000,9749,0,https://www.youtube.com/watch?v=eCkiIoJwCOg,inf
Golden Boy - Торговая Стратегия Для Xauusd (Gold) [Торговля Золотом На Форекс Стратегия],Елизавета Яковалева,7,148,2,https://www.youtube.com/watch?v=SP0RmC_mito,3626.0
"+276,82% за 12 мес: Тест стратегии форекс «Gold Swim» для XAU/USD",Стратегии ФОРЕКС,13300,540,2,https://www.youtube.com/watch?v=mfNThe7R330,47760299999.99999
Golden Boy - Торговая Стратегия Для Xauusd (Gold) [Стратегии Для Золота Форекс],Елизавета Яковалева,7,394,1,https://www.youtube.com/watch?v=UAWyUY_USD8,19306.0
XAUUSD Scalping Strategy,The Moving Average,959000,1298453,559,https://www.youtube.com/watch?v=oDOCBTYgCQM,2136247859558139.5
🔥Profitable XAUUSD Trade: Lower Low Strategy Strikes Gold! 💰📊,Black Molecules FX,7,28,0,https://www.youtube.com/watch?v=rIZWBRCX-MI,inf
"Как заработать на ЗОЛОТЕ? XAU/USD, GOLD #золото, #xauusd",Роман Корнев - трейдинг в плюс!,4670,1251,3,https://www.youtube.com/watch?v=OjFBbZgDZvM,9094311300.0
Торговля на новостях форекс стратегия .Стратегия торговли золотом . Золото xau usd прогноз . .,AlexAlex  SniperTrade,5180,954,6,https://www.youtube.com/watch?v=AWzCnkXoJGU,4266351600.0
Golden Boy - Торговая Стратегия Для Xauusd (Gold) [Золото Форекс],Форекс Trade 2016,18,71,0,https://www.youtube.com/watch?v=r39UC1dYf6g,inf
Торговая стратегия Liquidator Pro. GOLD,Точка входа,878,541,1,https://www.youtube.com/watch?v=hasyojwneGE,417048244.0
Секреты торговли Золотом XAUUSD,TradeLikeaPro,59300,29389,47,https://www.youtube.com/watch?v=whnx_OE1bcA,2198853715106.383
+5400 пунктов по XAUUSD — Стратегия форекс «Внутридневное золото» / Intraday Gold Forex strategy,Стратегии ФОРЕКС,13300,2363,4,https://www.youtube.com/watch?v=aBXEL4MGhkw,104497767500.0
Golden Boy - торговая стратегия для XAUUSD (gold),TradeLikeaPro,59300,69009,0,https://www.youtube.com/watch?v=jaHP4KQ9w20,inf
The Secret ICT Silver Bullet Strategy Revealed for the First Time!,MZ Trading Art,4500,313455,192,https://www.youtube.com/watch?v=jfWb8MsgFGg,33059707031.25
This indicator will help you predict market moves in Tradingview #shorts #forex #forextrading,Easy Forex Pips,229000,879518,149,https://www.youtube.com/watch?v=uT0oXwT1ttg,309549016362416.06
Сделка по XAU/USD за 30 секунд! #shorts,"Стратегия ""Снайпер"" | Мир трейдинга",23300,898,1,https://www.youtube.com/watch?v=E9n1JTJyDxo,487515219999.9999
sodda strategiya va MEGA PROFIT | $ 10 dan $ 85 gacha | razgon | skalping...,INCOME-FX,30200,37936,93,https://www.youtube.com/watch?v=zlCuC36L7ig,372033864946.2366
"USDJPY Analysis this week: usdjpy go bearish now, how to trade it??",Trading Chart Analysis,13800,29713,9,https://www.youtube.com/watch?v=4vDb1kvZO0g,628727080000.0
Very PROFITABLE Trading Strategy with Only 1 Indicator! #shorts,Hyper Trade,60600,1576675,306,https://www.youtube.com/watch?v=10AQTV-xCzI,18921954911764.707
ЗОЛОТО-РЕТЕСТ СОПРОТИВЛЕНИЯ / FOREX СКАЛЬПИНГ #трейдинг #скальпинг #xauusd,Mr.Scalping - FOREX,5440,1375,37,https://www.youtube.com/watch?v=JKHXtKu8JPs,1099762162.162162
Сделка по XAU/USD за 40 секунд! #shorts,"Стратегия ""Снайпер"" | Мир трейдинга",23300,1402,3,https://www.youtube.com/watch?v=UmboCfoeG9U,253710593333.3333
