Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
Лучшая форекс стратегия для Золото,MarkOptions,16500,13643,169,https://www.youtube.com/watch?v=Mo6UdvRhbCw,21978146449.704144
Индикаторная стратегия Снайпер для торговли золотом XAUUSD,Торговые стратегии,73600,9418,659,https://www.youtube.com/watch?v=PQt2PjSt5q4,77415674172.98936
Скальпинг золота XAUUSD на разных таймфреймах форекс,Торговые стратегии,73600,2756,33,https://www.youtube.com/watch?v=Pn1bSjKQ6q0,452398235151.51514
42. Особенности торговли золотом. Мастер-класс Андрея Шевченко,ИнстаФорекс,46400,9612,21,https://www.youtube.com/watch?v=ivgIi-L_FvM,985440548571.4286
Лучшая торговая стратегия для начинающего трейдера. Трейдинг с нуля,Трейдер Сергей Виноградов - TradersGroup,147000,90018,99,https://www.youtube.com/watch?v=pjSkI70sgVY,19648474363636.363
"Золото, как инвестировать и торговать на МосБирже, 4 стратегии/ Фьючерсы, GLDRUB_TOM, и другие.",Адамович Алексей - обучение инвестированию,23300,4150,21,https://www.youtube.com/watch?v=xJsMxA0Cuto,107285404761.90477
Лучшая форекс стратегия для Золота - анализ рынка 👌,Владимир Головатенко,1870,3159,12,https://www.youtube.com/watch?v=b9TODKN64_c,920558925.0000001
Форекс стратегия  для золота,MarkOptions,16500,5196,298,https://www.youtube.com/watch?v=gu6MQbyvOHQ,4747016778.52349
Благодарю всех подписчиков моего канала за поддержку . Форекс стратегия торговли золотом.,AlexAlex  SniperTrade,5180,1429,9,https://www.youtube.com/watch?v=y4tqKe03QEY,4260388844.4444447
Торговая стратегия форекс для скальпинга на золоте,Торговые стратегии,73600,7561,242,https://www.youtube.com/watch?v=XonpdFYaSKE,169246423801.6529
15 минутная стратегия форекс как заработать на 15 минутке,Торговые стратегии,73600,7003,383,https://www.youtube.com/watch?v=XM3dGw-WV7I,99046921357.70235
+3650 пунктов - Стратегия форекс «Грабеж» для XAUUSD (золота),Стратегии ФОРЕКС,13300,4304,15,https://www.youtube.com/watch?v=szTDxudeBhY,50755637333.33334
JUMP BOSS - торговая стратегия для золота,Антон Рожновский,36300,988,2,https://www.youtube.com/watch?v=LV7g0HcZpE4,650938860000.0
Индикатор для золота,Торговля на Форекс,12400,1140,2,https://www.youtube.com/watch?v=1REmu4lRVVo,87643200000.0
стратегии для золота форекс,Торговые сигналы форекс,13,29,0,https://www.youtube.com/watch?v=SyecVDtL6mM,inf
Как торговать золото? Рабочая стратегия №1 на Forex,ОБУЧЕНИЕ ТРЕЙДИНГУ НА БИРЖЕ,5630,9580,36,https://www.youtube.com/watch?v=8Q6aEnhpviA,8434897277.777778
Стратегия для золота – Super Precision Strategy,Grand Capital,5650,530,8,https://www.youtube.com/watch?v=AGF8_ygxm7o,2114865625.0000002
Торговая стратегия для золота – Intraday GOLD,LightFX,8310,4086,18,https://www.youtube.com/watch?v=Kq5bpiz2yDE,15675734700.0
«Intraday GOLD» стратегия для М15,LightFX,8310,3184,24,https://www.youtube.com/watch?v=bWqi1-R2KgY,9161442600.0
Прибыльная стратегия торговли золотом,Александр Кэш,326,431,1,https://www.youtube.com/watch?v=Dnj_qVyJKQI,45804956.00000001
+120% за 12 мес — Стратегия «TR-Gold» для XAU/USD (золото) на скользящей средней,Стратегии ФОРЕКС,13300,2229,1,https://www.youtube.com/watch?v=7ZBiG2ryjYw,394287810000.0
Золото. Стратегии торговли во флете,Аркадий Романович,30000,1274,1,https://www.youtube.com/watch?v=DIJXrRYWtp4,1146600000000.0
