Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
Лучшая форекс стратегия для Золото,MarkOptions,16500,13604,169,https://www.youtube.com/watch?v=Mo6UdvRhbCw,21915319526.62722
Форекс стратегия  для золота,MarkOptions,16500,5195,298,https://www.youtube.com/watch?v=gu6MQbyvOHQ,4746103187.919463
Индикаторная стратегия Снайпер для торговли золотом XAUUSD,Торговые стратегии,73500,9336,646,https://www.youtube.com/watch?v=PQt2PjSt5q4,78073383900.92877
Торговая стратегия форекс для скальпинга на золоте,Торговые стратегии,73500,7547,242,https://www.youtube.com/watch?v=XonpdFYaSKE,168474300619.83472
Лучшая форекс стратегия для Золота - анализ рынка 👌,Владимир Головатенко,1870,3154,12,https://www.youtube.com/watch?v=b9TODKN64_c,919101883.3333334
+3650 пунктов - Стратегия форекс «Грабеж» для XAUUSD (золота),Стратегии ФОРЕКС,13300,4299,15,https://www.youtube.com/watch?v=szTDxudeBhY,50696674000.00001
ЛУЧШИЕ СТРАТЕГИИ ТЕХНИЧЕСКОГО АНАЛИЗА РЫНКА. КАК Я ПРОВОЖУ ТЕХАНАЛИЗ. ВАЛЮТЫ ИНДЕКСЫ ЗОЛОТО НЕФТЬ,Аркадий Романович,30000,1675,4,https://www.youtube.com/watch?v=NzhxD4HrCt4,376875000000.00006
JUMP BOSS - торговая стратегия для золота,Антон Рожновский,36300,986,2,https://www.youtube.com/watch?v=LV7g0HcZpE4,649621170000.0
Скальпинг золота XAUUSD на разных таймфреймах форекс,Торговые стратегии,73500,2676,31,https://www.youtube.com/watch?v=Pn1bSjKQ6q0,466336161290.32263
стратегии для золота форекс,Торговые сигналы форекс,13,29,0,https://www.youtube.com/watch?v=SyecVDtL6mM,inf
Как торговать золото? Рабочая стратегия №1 на Forex,ОБУЧЕНИЕ ТРЕЙДИНГУ НА БИРЖЕ,5640,9571,36,https://www.youtube.com/watch?v=8Q6aEnhpviA,8456935599.999999
Стратегия для золота – Super Precision Strategy,Grand Capital,5660,530,8,https://www.youtube.com/watch?v=AGF8_ygxm7o,2122358500.0
15 минутная стратегия форекс как заработать на 15 минутке,Торговые стратегии,73500,6972,381,https://www.youtube.com/watch?v=XM3dGw-WV7I,98856921259.84251
Стратегия - Пробой дня на золоте,investwm,2480,3388,4,https://www.youtube.com/watch?v=l8ibcGK-380,5209388800.0
😧🔥ЗОЛОТО рвет РЫНОК!💸ЗАРАБОТАЛ на этом #трейдинг #стратегия #forex #инвестиции #заработок #золото,HOT TRADERS,21700,1442,1,https://www.youtube.com/watch?v=3i-bhj9b57I,679023380000.0
Стратегия «Золото форекс»: +2900 пунктов прибыли,Стратегии ФОРЕКС,13300,7598,4,https://www.youtube.com/watch?v=oUbk_oirlzk,336002554999.99994
