Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
Индикаторная стратегия Снайпер для торговли золотом XAUUSD,Торговые стратегии,73500,9336,646,https://www.youtube.com/watch?v=PQt2PjSt5q4,78073383900.92877
Скальпинг золота XAUUSD на разных таймфреймах форекс,Торговые стратегии,73500,2676,31,https://www.youtube.com/watch?v=Pn1bSjKQ6q0,466336161290.32263
СТРАТЕГИЯ коротких СДЕЛОК: Лучшая 1-минутная торговая стратегия! [91% успеха],Gerchik & Co,152000,59350,113,https://www.youtube.com/watch?v=ZUdEaoWW79o,12134711504424.78
Лучшая форекс стратегия для Золото,MarkOptions,16500,13604,169,https://www.youtube.com/watch?v=Mo6UdvRhbCw,21915319526.62722
+120% за 12 мес — Стратегия «TR-Gold» для XAU/USD (золото) на скользящей средней,Стратегии ФОРЕКС,13300,2227,1,https://www.youtube.com/watch?v=7ZBiG2ryjYw,393934030000.0
"How to Trade XAU/USD: Best Gold Trading Strategy? (11 MAR,2022) #short #xauusd #gold",DayTrading,1410,40893,8,https://www.youtube.com/watch?v=KWHHfz-Nj9o,10162421662.499998
стратегия торговли золотом на бинарных опционах - golden boy - торговая стратегия для xauusd (gold),Investing Trade,8,26,0,https://www.youtube.com/watch?v=qDAdug_GM2A,inf
42. Особенности торговли золотом. Мастер-класс Андрея Шевченко,ИнстаФорекс,46400,9546,21,https://www.youtube.com/watch?v=ivgIi-L_FvM,978674102857.1428
15 минутная стратегия форекс как заработать на 15 минутке,Торговые стратегии,73500,6972,381,https://www.youtube.com/watch?v=XM3dGw-WV7I,98856921259.84251
БЕЗУМНАЯ 1-минутная торговая стратегия скальпинга (97% WINRATE) 🤑🤑🤑,TrippaTrading русский,31300,488349,538,https://www.youtube.com/watch?v=e4kNmv-vAPQ,889276267304.8326
#Forex #скальпинг стратегия для торговли #золотом #Xauusd без индикаторов.,Пути к трейдингу,881,395,6,https://www.youtube.com/watch?v=0aY6iVxmO9E,51097265.83333333
Самая простая стратегия для торговли криптовалютой новичкам #shorts,АРДЕНСКИЙ | Трейдинг и психология,69000,1659180,1288,https://www.youtube.com/watch?v=vqgyc9kbHT4,6133040357142.857
ЧТО ТАКОЕ СМАРТ МАНИ? | СТРАТЕГИЯ ПО КОТОРОЙ ТОРГУЮТ БАНКИ | СМАРТ МАНИ ТРЕДИНГ | SMART MONEY,Trading with BP,99700,1135414,2379,https://www.youtube.com/watch?v=7BojDq-o0LI,4744059414569.146
