Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
Индикаторная стратегия Снайпер для торговли золотом XAUUSD,Торговые стратегии,73600,9416,659,https://www.youtube.com/watch?v=PQt2PjSt5q4,77399234233.68741
Скальпинг золота XAUUSD на разных таймфреймах форекс,Торговые стратегии,73600,2756,33,https://www.youtube.com/watch?v=Pn1bSjKQ6q0,452398235151.51514
Как научиться торговать золото/доллар XAUUSD форекс,Пути к трейдингу,883,6936,39,https://www.youtube.com/watch?v=yqHGU5i4SUE,138664689.84615386
42. Особенности торговли золотом. Мастер-класс Андрея Шевченко,ИнстаФорекс,46400,9612,21,https://www.youtube.com/watch?v=ivgIi-L_FvM,985440548571.4286
Лучшая форекс стратегия для Золото,MarkOptions,16500,13643,169,https://www.youtube.com/watch?v=Mo6UdvRhbCw,21978146449.704144
15 минутная стратегия форекс как заработать на 15 минутке,Торговые стратегии,73600,7003,383,https://www.youtube.com/watch?v=XM3dGw-WV7I,99046921357.70235
ЧТО ТАКОЕ СМАРТ МАНИ? | СТРАТЕГИЯ ПО КОТОРОЙ ТОРГУЮТ БАНКИ | СМАРТ МАНИ ТРЕДИНГ | SMART MONEY,Trading with BP,99800,1137784,2379,https://www.youtube.com/watch?v=7BojDq-o0LI,4763503216208.491
"ЭФФЕКТИВНАЯ СТРАТЕГИЯ XAU_USD (ЗОЛОТО, ФОРЕКС)",BADIN trade,318,4452,12,https://www.youtube.com/watch?v=ySFi_Bi7Hjs,37517004.0
Live XAUUSD GOLD- My Trading Strategy-11/10,FOREX & GOLD,145000,9744,0,https://www.youtube.com/watch?v=eCkiIoJwCOg,inf
Как торговать золото ? Полный гайд по торговле XAU/USD,FTH | FOREX,6940,10138,96,https://www.youtube.com/watch?v=QnwzqrpnWz8,5086276841.666668
🔥Лучшая скальпинг стратегия торговли против толпы! Прибыль 400% к депозиту! #золото#forex#трейдинг,Онлайн торговля на рынке FOREX! PRO ОБУЧЕНИЕ! ,5880,7304,37,https://www.youtube.com/watch?v=vVv-TqZwL3Y,6825173448.648649
Как торговать золото? Рабочая стратегия №1 на Forex,ОБУЧЕНИЕ ТРЕЙДИНГУ НА БИРЖЕ,5630,9580,36,https://www.youtube.com/watch?v=8Q6aEnhpviA,8434897277.777778
This indicator will help you predict market moves in Tradingview #shorts #forex #forextrading,Easy Forex Pips,229000,879518,149,https://www.youtube.com/watch?v=uT0oXwT1ttg,309549016362416.06
Супер скальпинг по золоту/XAUUSD. ТЫ ЭТОГО ТОЧНО НЕ ЗНАЕШЬ!!! ПРОЕКТ М-30/Ч-7,Mr.Scalping - FOREX,5440,5844,183,https://www.youtube.com/watch?v=2acaq_G8W8s,945054636.0655738
+3650 пунктов - Стратегия форекс «Грабеж» для XAUUSD (золота),Стратегии ФОРЕКС,13300,4304,15,https://www.youtube.com/watch?v=szTDxudeBhY,50755637333.33334
БЕЗУМНАЯ 1-минутная торговая стратегия скальпинга (97% WINRATE) 🤑🤑🤑,TrippaTrading русский,31400,488946,538,https://www.youtube.com/watch?v=e4kNmv-vAPQ,896061706617.1003
"Turning $100 to $ 1,00,000 Day Forex trading market || Auto trading Bot",Forex Algo EA,5390,490784,0,https://www.youtube.com/watch?v=WqmDTJ9kUwo,inf
Секреты торговли Золотом XAUUSD,TradeLikeaPro,59300,29389,47,https://www.youtube.com/watch?v=whnx_OE1bcA,2198853715106.383
Скальпинг на ЗОЛОТЕ! Лучшая объёмная стратегия! #золото#scalping#трейдинг#forex#forextrading,Онлайн торговля на рынке FOREX! PRO ОБУЧЕНИЕ! ,5880,5134,9,https://www.youtube.com/watch?v=Q4MvwIHU2Ww,19722774400.0
Торговая стратегия форекс для скальпинга на золоте,Торговые стратегии,73600,7561,242,https://www.youtube.com/watch?v=XonpdFYaSKE,169246423801.6529
#Forex #скальпинг стратегия для торговли #золотом #Xauusd без индикаторов.,Пути к трейдингу,883,399,6,https://www.youtube.com/watch?v=0aY6iVxmO9E,51849318.5
Powerful XAUUSD Gold Trading Strategy,Trading Walk,33600,1441,0,https://www.youtube.com/watch?v=3E7k47dZeWk,inf
стратегия торговли золотом на бинарных опционах - golden boy - торговая стратегия для xauusd (gold),Investing Trade,8,26,0,https://www.youtube.com/watch?v=qDAdug_GM2A,inf
5 minutes scalping strategy to double your account in few hours #gbpjpy,Poundkingforex,27100,383291,135,https://www.youtube.com/watch?v=m8PA_2V1a94,2085131431925.9258
• Forex Gold Trading Strategy Live | Forex Gold Live Trading Tutorial 2022,Precious Pips,4790,339359,285,https://www.youtube.com/watch?v=kY4jOziglF0,27320304673.333332
CPI News Trade 100% Profit All Time XAUUSD,Nazmul Forex,10100,249079,267,https://www.youtube.com/watch?v=yuOPMRoro1k,95163104082.397
NFP News Trading 100% Profit  XAUUSD (Gold),Nazmul Forex,10100,448219,400,https://www.youtube.com/watch?v=cM91G8T7UzU,114307050474.99998
Very PROFITABLE Trading Strategy with Only 1 Indicator! #shorts,Hyper Trade,60600,1576675,306,https://www.youtube.com/watch?v=10AQTV-xCzI,18921954911764.707
I Found An AMAZING Trend Following Strategy #shorts,TradingLab,1260000,1050312,682,https://www.youtube.com/watch?v=YV-gwsg2Ekc,2444978491495600.5
BEST 1 MINUTE SCALPING STRATEGY,BORSA 321,73500,698917,374,https://www.youtube.com/watch?v=3hJyExgLnwY,10095519687834.227
THE BEST SCALPING INDICATOR ON TRADINGVIEW | STRATEGY | SCALPING | 1MINUTE | #forex,Valor Algo,12200,663944,431,https://www.youtube.com/watch?v=0TnTKymJ_VE,229284048631.09048
Forex Trading | Making 100K + trading the Forex Market 💰💰🙏🏾🙏🏾💥💥,King Abe Trades,21400,457960,351,https://www.youtube.com/watch?v=8V4Fc3FN0b8,597513850712.2509
MY BEST MOBILE STRATEGY FOR LONG TRADE#forextrading #short,Ahmad 12fx,4410,126080,57,https://www.youtube.com/watch?v=rM3Wst4IEL8,43017832421.05263
🔴 Best TradingView Indicator for Nasdaq100! Day Trading #forex #daytrading #forextrading,Million Moves,114000,240715,47,https://www.youtube.com/watch?v=1KTAkrI2Sk8,66560258297872.33
САМЫЙ ПРОДВИНУТЫЙ ИНДИКАТОР TRADINGVIEW (С ТОЧНОСТЬЮ 99.8%),Profit Day – Реальный Трейдинг. Сигналы. Обучение.,25700,107540,571,https://www.youtube.com/watch?v=QiOFdlVShXs,124394211208.4063
Скальпинг золота. Прогноз XAUUSD. Алгоритм сделки.,ProffTrade,2220,6660,11,https://www.youtube.com/watch?v=XQ5Dr9M1U70,2983922181.818182
Free Indicator and Premium Indicator on Tradingview both by @LuxAlgo #tradingview #shorts.,CyberTrading,3320,266202,35,https://www.youtube.com/watch?v=uEI-3XuUXt0,83833854994.2857
Торговля на новостях форекс стратегия .Стратегия торговли золотом . Золото xau usd прогноз . .,AlexAlex  SniperTrade,5180,954,6,https://www.youtube.com/watch?v=AWzCnkXoJGU,4266351600.0
700% Profit In ONE Trade Using A Secret Indicator 🤯 #shorts,Power of Trading,304000,1098894,649,https://www.youtube.com/watch?v=FL48uisUtdk,156479796462249.62
торгуем золотом XAUUSD,FX,23300,14851,25,https://www.youtube.com/watch?v=vzAJa7Ddf8s,322498375600.0
