Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
Эффективная стратегия торговли золотом,Торговля на Форекс,12400,3925,2,https://www.youtube.com/watch?v=5NTSQx54OgY,301754000000.0
Индикаторная стратегия Снайпер для торговли золотом XAUUSD,Торговые стратегии,73600,9418,659,https://www.youtube.com/watch?v=PQt2PjSt5q4,77415674172.98936
"Золото, как инвестировать и торговать на МосБирже, 4 стратегии/ Фьючерсы, GLDRUB_TOM, и другие.",Адамович Алексей - обучение инвестированию,23300,4150,21,https://www.youtube.com/watch?v=xJsMxA0Cuto,107285404761.90477
Стратегия торговли золотом,Пути к трейдингу,883,1390,2,https://www.youtube.com/watch?v=YOV8rdFYLs0,541883855.0
Лучшая форекс стратегия для Золото,MarkOptions,16500,13643,169,https://www.youtube.com/watch?v=Mo6UdvRhbCw,21978146449.704144
42. Особенности торговли золотом. Мастер-класс Андрея Шевченко,ИнстаФорекс,46400,9612,21,https://www.youtube.com/watch?v=ivgIi-L_FvM,985440548571.4286
Скальпинг золота XAUUSD на разных таймфреймах форекс,Торговые стратегии,73600,2756,33,https://www.youtube.com/watch?v=Pn1bSjKQ6q0,452398235151.51514
Благодарю всех подписчиков моего канала за поддержку . Форекс стратегия торговли золотом.,AlexAlex  SniperTrade,5180,1429,9,https://www.youtube.com/watch?v=y4tqKe03QEY,4260388844.4444447
🔥Лучшая скальпинг стратегия торговли против толпы! Прибыль 400% к депозиту! #золото#forex#трейдинг,Онлайн торговля на рынке FOREX! PRO ОБУЧЕНИЕ! ,5880,7304,37,https://www.youtube.com/watch?v=vVv-TqZwL3Y,6825173448.648649
Лучшая форекс стратегия для Золота - анализ рынка 👌,Владимир Головатенко,1870,3159,12,https://www.youtube.com/watch?v=b9TODKN64_c,920558925.0000001
Лучшая торговая стратегия для начинающего трейдера. Трейдинг с нуля,Трейдер Сергей Виноградов - TradersGroup,147000,90018,99,https://www.youtube.com/watch?v=pjSkI70sgVY,19648474363636.363
15 минутная стратегия форекс как заработать на 15 минутке,Торговые стратегии,73600,7003,383,https://www.youtube.com/watch?v=XM3dGw-WV7I,99046921357.70235
СТРАТЕГИЯ коротких СДЕЛОК: Лучшая 1-минутная торговая стратегия! [91% успеха],Gerchik & Co,152000,59697,113,https://www.youtube.com/watch?v=ZUdEaoWW79o,12205659185840.707
Золото!! Входы 100%. Агрессивный Скальпинг.Что такое?,Форекс - реальное понимание и торговля в плюс,33400,4489,4,https://www.youtube.com/watch?v=X89nTpGQ1cU,1251937210000.0
Торговая стратегия форекс для скальпинга на золоте,Торговые стратегии,73600,7561,242,https://www.youtube.com/watch?v=XonpdFYaSKE,169246423801.6529
ЧТО ТАКОЕ СМАРТ МАНИ? | СТРАТЕГИЯ ПО КОТОРОЙ ТОРГУЮТ БАНКИ | СМАРТ МАНИ ТРЕДИНГ | SMART MONEY,Trading with BP,99800,1137784,2379,https://www.youtube.com/watch?v=7BojDq-o0LI,4763503216208.491
Прибыльная стратегия торговли золотом,Александр Кэш,326,431,1,https://www.youtube.com/watch?v=Dnj_qVyJKQI,45804956.00000001
Лучшая стратегия торговли золотом | GIG-OS,GIG-OS TV ,28800,2355,6,https://www.youtube.com/watch?v=g36BfrKzNfk,325555200000.0
Как торговать золото? Рабочая стратегия №1 на Forex,ОБУЧЕНИЕ ТРЕЙДИНГУ НА БИРЖЕ,5630,9580,36,https://www.youtube.com/watch?v=8Q6aEnhpviA,8434897277.777778
Торговля на новостях. Золото. Нон фарм. (Часть 1.).,Вячеслав Возный. ФОРЕКС. ОБУЧЕНИЕ. ТРЕЙДИНГ.,37600,4253,45,https://www.youtube.com/watch?v=dWXk2On8dAc,133616028444.44444
«Intraday GOLD» стратегия для М15,LightFX,8310,3184,24,https://www.youtube.com/watch?v=bWqi1-R2KgY,9161442600.0
торговля золотом на форекс стратегия - настройка платформы мт4 для торговли золотом,Profit Trade,15,143,0,https://www.youtube.com/watch?v=OSjA9GnNRfA,inf
Как научиться торговать золото/доллар XAUUSD форекс,Пути к трейдингу,883,6936,39,https://www.youtube.com/watch?v=yqHGU5i4SUE,138664689.84615386
Индикатор для золота,Торговля на Форекс,12400,1140,2,https://www.youtube.com/watch?v=1REmu4lRVVo,87643200000.0
Торговая стратегия для золота – Intraday GOLD,LightFX,8310,4086,18,https://www.youtube.com/watch?v=Kq5bpiz2yDE,15675734700.0
Форекс стратегия разгона депозита для торговли золотом!,Путь к миллиону. Разгон на Forex!,406,185,1,https://www.youtube.com/watch?v=PluMUC7n1HI,30494660.0
Форекс стратегия  для золота,MarkOptions,16500,5196,298,https://www.youtube.com/watch?v=gu6MQbyvOHQ,4747016778.52349
Стратегия торговли фьючерсами! Стратегия торговли золотом!,Торговля бинарными опционами Delston Capital Group,349,56,0,https://www.youtube.com/watch?v=BUqy5IHtwg0,inf
Разгон депозита на форекс + 200 % Торговля золотом ( xauusd ) Обучение трейдингу,Математический трейдинг на Форекс с Дмитрием Эйлер,5370,5664,14,https://www.youtube.com/watch?v=n5GCc5BHg3o,11666585828.571428
БЕЗУМНАЯ 1-минутная торговая стратегия скальпинга (97% WINRATE) 🤑🤑🤑,TrippaTrading русский,31400,488949,538,https://www.youtube.com/watch?v=e4kNmv-vAPQ,896067204535.316
"10 правил скальпинга, которым я научился за 13 лет торговли",Видеоблог Трейдера (Видеоблог трейдера),4640,41843,56,https://www.youtube.com/watch?v=kHa8wLoxF7E,16086840228.571428
КАК ТРЕЙДЕРУ РЕАЛЬНО ЗАРАБОТАТЬ НА ЗОЛОТЕ-ФОРЕКС ТОРГОВЛЯ,Mr.Scalping - FOREX,5440,7233,71,https://www.youtube.com/watch?v=SUsQg0n3pCI,3014795898.591549
Секреты и правила торговли внутри дня от Александра Герчика,Gerchik & Co,152000,49105,67,https://www.youtube.com/watch?v=YImGU6VTvZE,16933162985074.627
Golden Boy - Торговая Стратегия Для Xauusd (Gold) [Торговля Золотом На Форекс Стратегия],Forex Review,166,683,3,https://www.youtube.com/watch?v=Jte0AhSUrP4,6273582.666666666
Golden Boy - Торговая Стратегия Для Xauusd (Gold) [Торговля Золотом На Форекс Стратегия],Елизавета Яковалева,7,148,2,https://www.youtube.com/watch?v=SP0RmC_mito,3626.0
Как торговать золото ? Полный гайд по торговле XAU/USD,FTH | FOREX,6940,10138,96,https://www.youtube.com/watch?v=QnwzqrpnWz8,5086276841.666668
торговля золотом на форекс - 💥 эффективная стратегия торговли золотом - стратегия золото форекс,Online Trade,17,87,0,https://www.youtube.com/watch?v=AEjGqG_PQzQ,inf
Секреты торговли Золотом XAUUSD,TradeLikeaPro,59300,29389,47,https://www.youtube.com/watch?v=whnx_OE1bcA,2198853715106.383
Скальпинг минутного графика с одним индикатором,Торговые стратегии,73600,24373,81,https://www.youtube.com/watch?v=N_47mPLZt70,1629969951604.9382
Торговля на новостях форекс стратегия .Стратегия торговли золотом . Золото xau usd прогноз . .,AlexAlex  SniperTrade,5180,954,6,https://www.youtube.com/watch?v=AWzCnkXoJGU,4266351600.0
Один день трейдера. Торговля золотом на М1. Скальпинг на золоте. #трейдинг #золото #скальпинг,ФибоТрейдер I FiboTrader I Дмитрий Орлов,114000,9829,37,https://www.youtube.com/watch?v=TOWD39vkMnc,3452369837837.838
Торговля золотом на форекс стратегия,sportmen,4,79,0,https://www.youtube.com/watch?v=QVkf9i3eclQ,inf
стратегия торговли золотом бинарных опционах,бинарные опционы,24,7,0,https://www.youtube.com/watch?v=cjxDkrgG6js,inf
Скальпинг на ЗОЛОТЕ! Лучшая объёмная стратегия! #золото#scalping#трейдинг#forex#forextrading,Онлайн торговля на рынке FOREX! PRO ОБУЧЕНИЕ! ,5880,5134,9,https://www.youtube.com/watch?v=Q4MvwIHU2Ww,19722774400.0
торговля золотом на форекс стратегия,Николай Комолов,2,5,0,https://www.youtube.com/watch?v=DBGRCjobc5A,inf
Forex broker 2015 (стратегии торговли золотом на форекс),Forex trading Advisor 2015,18,43,0,https://www.youtube.com/watch?v=rQfwWmaMkZw,inf
+3650 пунктов - Стратегия форекс «Грабеж» для XAUUSD (золота),Стратегии ФОРЕКС,13300,4304,15,https://www.youtube.com/watch?v=szTDxudeBhY,50755637333.33334
Торговля золотом на форекс,Александр Кэш,326,603,1,https://www.youtube.com/watch?v=LEb8ngsfUWE,64084428.0
"ЭФФЕКТИВНАЯ СТРАТЕГИЯ XAU_USD (ЗОЛОТО, ФОРЕКС)",BADIN trade,318,4452,12,https://www.youtube.com/watch?v=ySFi_Bi7Hjs,37517004.0
торговля золотом на форекс стратегия,Алексей Приемов,3,6,0,https://www.youtube.com/watch?v=ziongt25dQw,inf
