Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio
"Как заработать. EurUsd, XauUsd, GbpUsd, XagUsd, S&amp;P500, Bitcoin, Ethereum, Solana, Cardano",Вячеслав Возный. ФОРЕКС. ОБУЧЕНИЕ. ТРЕЙДИНГ.,37600,1265,36,https://www.youtube.com/watch?v=FVJatojkp5o,49677955555.55554
РАССМАТРИВАЕМ СРАЗУ ДВА СЦЕНАРИЯ ДЛЯ XAGUSD. ТОРГОВЫЕ РЕКОМЕНДАЦИИ С ЯНОМ СИКОРСКИМ,"Стратегия ""Снайпер"" | Мир трейдинга",23300,724,0,https://www.youtube.com/watch?v=X9PQeig27pE,inf
"Xag Usd, Анализ 08.10 #биржа #форекс #трейдинг #forex #trading #xagusd #xag #smartmoney",Вячеслав Возный. ФОРЕКС. ОБУЧЕНИЕ. ТРЕЙДИНГ.,37600,257,1,https://www.youtube.com/watch?v=Y3mPXZ9fWlI,363336320000.0
ПРОВЕРЕННАЯ временем СТРАТЕГИЯ | ТЕХНИЧЕСКИЙ АНАЛИЗ | XAGUSD | Трейдинг с нуля | Обучение | 2021,out of system l Трейдинг и Инвестиции | Обучение |,9690,1516,6,https://www.youtube.com/watch?v=I4MeQzA1-bQ,23724414600.000004
Лучшая торговая стратегия для начинающих трейдеров,Торговые стратегии,73500,2295,134,https://www.youtube.com/watch?v=-hq8a4jhTPE,92523610074.62686
Самая лучшая торговая стратегия для трейдинга,Торговые стратегии,73500,5545,151,https://www.youtube.com/watch?v=M0mSpe6MI4w,198380637417.21854
4 часовые стратегии форекс как заработать на 4 часовике,Торговые стратегии,73500,7265,388,https://www.youtube.com/watch?v=NZ-lQ125U9c,101152954252.57732
Лучшая торговая стратегия для начинающего трейдера. Трейдинг с нуля,Трейдер Сергей Виноградов - TradersGroup,147000,89675,99,https://www.youtube.com/watch?v=pjSkI70sgVY,19573606818181.82
Обзор топовой стратегии форекс от подписчика,Торговые стратегии,73500,20766,976,https://www.youtube.com/watch?v=0PqEzwi--7Y,114941724897.54099
СТРАТЕГИЯ коротких СДЕЛОК: Лучшая 1-минутная торговая стратегия! [91% успеха],Gerchik & Co,152000,59350,113,https://www.youtube.com/watch?v=ZUdEaoWW79o,12134711504424.78
ЛУЧШАЯ ТОРГОВАЯ СТРАТЕГИЯ | ДЛЯ НАЧИНАЮЩИХ ТРЕЙДЕРОВ | ТОРГОВЛЯ НА ФЬЮЧЕРСАХ,DAGAZIEV,29500,79200,230,https://www.youtube.com/watch?v=Pgu7PGIro-Y,299668695652.17395
300 Pips Scalping XAGUSD | EASY Forex Strategy Trading SILVER (WATCH LIVE),Prestige Options,128000,11474,20,https://www.youtube.com/watch?v=fzkzDQ4ssCU,9399500800000.0
Разработка торговой стратегии по методу Александра Шевелева,Aleksandr Shevelev,105000,11862,3,https://www.youtube.com/watch?v=C3Hlr4uCjKk,43592850000000.0
7.12 Сигналы торговой стратегии. Обзор текущих сделок,PAIT,893,71,5,https://www.youtube.com/watch?v=O_n0V945PlU,11323775.799999997
Как создать торговую стратегию с нуля?,Трейдер Игорь Журавлев,7930,2988,19,https://www.youtube.com/watch?v=JjPupXBXA2Y,9889477957.894737
30.11 Сигналы торговой стратегии. Обзор текущих сделок,PAIT,893,66,1,https://www.youtube.com/watch?v=0A99ByaabGw,52631634.0
Сеточная торговля || Стратегия торговли без прогноза,Торгуй Факты,2170,12595,44,https://www.youtube.com/watch?v=dMq6IsYgUok,1347922624.9999998
"Как заработать. EurUsd, XauUsd, GbpUsd, XagUsd, S&amp;P500, Bitcoin, Ethereum, Solana, Cardano",Вячеслав Возный. ФОРЕКС. ОБУЧЕНИЕ. ТРЕЙДИНГ.,37600,1224,34,https://www.youtube.com/watch?v=Ce6G5HvIIp4,50895360000.0
Курсы обучения трейдингу | Торговые стратегии трейдера | Forex скальпинг | Трейдер | Скальпер,Обучение трейдингу от Expert Trader,2950,9163,3,https://www.youtube.com/watch?v=Wtg2aAStWeo,26580335833.333336
Торговые стратегии на RangeXV графике. Профиль объема.,ATAS Торговая Платформа,17600,8444,49,https://www.youtube.com/watch?v=Uev6f2Kv9Pk,53379866122.44898
"How To Trade Breakouts With Options + USDMXN, EURCHF, XAGUSD, XAUUSD, &amp; Amazon",Trading Strategy Guides,49300,1666,16,https://www.youtube.com/watch?v=BwhpHaLqV1w,253074771250.0
Индикаторная стратегия Снайпер для торговли золотом XAUUSD,Торговые стратегии,73500,9336,646,https://www.youtube.com/watch?v=PQt2PjSt5q4,78073383900.92877
Gold and silver Analysis #chartpatterns #market | #Gold,Chart Patterns,208000,1170,30,https://www.youtube.com/watch?v=c7rtaq2Erbw,1687296000000.0
OPPORTUNITIES #ChartPatterns Candlestick | Stock | Market | Forex | crypto | Trading | New | #Shorts,Chart Patterns,208000,35003,30,https://www.youtube.com/watch?v=9s1k_xXYMCM,50478993066666.664
Торговые стратегии с индикатором кумулятивной дельты на RangeXV графике,ATAS Торговая Платформа,17600,7573,34,https://www.youtube.com/watch?v=DfUklNvjboE,68994484705.88235
